Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Brad Brach","CIN",17,33,12.78947369,9,1,0,14,9,3,4,2,0,2,0.33333333,0.40625,0.7037037,0.43466373483339943,6627
"Total","Craig Kimbrel","2 Tms",30,81,2.57142857,11,2,0,10,6,0,7,1,0,36,0.15492958,0.22222222,0.18309859,0.18181362822651864,6655
"Total","Alex Colome","MIN",31,87,6.19672131,20,4,0,22,14,5,5,0,1,17,0.25316456,0.29885057,0.49367089,0.33160118261973065,6661
"Total","Andrew Miller","STL",7,10,13.5,0,0,0,3,3,0,3,0,1,4,0,0.4,0,0.2797082126140594,6785
"Total","Martin Perez","BOS",1,2,0,0,0,0,1,0,0,0,0,1,1,0,0.5,0,0.3609662353992462,6902
"Total","Joakim Soria","2 Tms",12,33,7.875,11,4,0,7,7,1,0,0,0,10,0.34375,0.33333333,0.5625,0.3711344437165694,6941
"Total","Luis Garcia","STL",10,20,10.8,2,1,0,6,6,1,3,0,0,5,0.13333333,0.25,0.4,0.2661657392978668,6984
"Total","Ian Kennedy","2 Tms",29,83,3.27272727,10,2,0,9,8,3,9,2,2,24,0.14084507,0.25609756,0.29577465,0.23980007842183113,6986
"Total","Ryan Pressly","HOU",35,89,2.34782609,19,2,0,9,6,1,4,0,0,28,0.22619048,0.26136364,0.28571429,0.24229048869826578,7005
"Total","Daniel Bard","COL",37,124,7.01298701,29,6,1,23,20,4,16,1,4,36,0.2815534,0.39837398,0.47572816,0.3781180821481298,7115
"Total","Daniel Hudson","2 Tms",23,47,3,11,3,0,6,4,2,2,0,0,16,0.25581395,0.27659574,0.46511628,0.3062923791560721,7146
"Total","Greg Holland","KCR",17,48,16,14,1,1,17,16,5,7,2,1,13,0.35,0.45833333,0.8,0.5038287069486536,7196
"Total","Craig Stammen","SDP",14,22,10.12500001,6,0,0,6,6,3,2,0,0,4,0.3,0.36363636,0.75,0.45637067610567267,7274
"Total","Javy Guerra","WSN",1,3,0,1,0,0,1,0,0,0,0,1,0,0.5,0.66666667,0.5,0.5336625973383585,7407
"Total","Jay Jackson","SFG",4,8,21.59999996,3,1,0,4,4,1,1,0,0,0,0.42857143,0.5,1,0.6023671254515648,7432
"Total","Wade Davis","KCR",5,13,21.59999996,7,1,0,5,4,1,1,0,1,1,0.77777778,0.75,1.22222222,0.7547575632731119,7441
"Total","Collin McHugh","TBR",11,38,2,8,1,0,5,2,0,4,2,1,9,0.25,0.35135135,0.28125,0.2714399814605713,7531
"Total","Jake McGee","SFG",34,93,4.15384615,19,5,0,12,10,2,7,1,2,21,0.2345679,0.30107527,0.37037037,0.28656628209611645,7550
"Total","Jordan Lyles","TEX",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7593
"Total","Tommy Milone","TOR",3,3,135.00000135,1,0,0,5,5,1,1,0,0,1,0.5,0.66666667,2,0.8994117180506388,7608
"Total","Wily Peralta","DET",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7738
"Total","Richard Bleier","MIA",29,52,8.1627907,13,1,0,14,13,2,2,2,0,11,0.26530612,0.29411765,0.40816327,0.2866374886765772,7803
"Total","Hunter Strickland","2 Tms",7,13,5.40000001,2,1,0,3,2,1,1,0,0,6,0.16666667,0.23076923,0.5,0.30306782172276425,7836
"Total","Anthony Bass","MIA",23,51,10.8,11,1,0,19,12,2,10,5,1,9,0.28947368,0.44,0.47368421,0.365947589609358,7982
"Total","Will Smith","ATL",44,125,4.10869565,18,6,1,15,14,4,15,2,2,38,0.16981132,0.28,0.35849057,0.2734430849067564,8048
"Total","Bryan Shaw","CLE",32,65,7.90243902,18,1,1,15,12,2,6,0,0,13,0.31034483,0.375,0.46551724,0.36374587565660477,8110
"Total","David Robertson","TBR",2,7,13.50000003,3,0,0,3,2,0,0,0,0,0,0.42857143,0.42857143,0.42857143,0.3767379948071071,8241
"Total","Paolo Espino","WSN",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8246
"Total","Lucas Luetge","NYY",18,32,8.52631579,13,2,0,9,6,1,2,1,0,7,0.44827586,0.46875,0.62068966,0.450712303961477,8337
"Total","Deolis Guerra","OAK",7,19,5.78571428,4,0,0,4,3,0,0,0,0,5,0.23529412,0.22222222,0.23529412,0.1953456269370185,8410
"Total","Justin Miller","2 Tms",4,6,0,0,0,0,0,0,0,1,0,0,1,0,0.16666667,0,0.11528609196345012,8580
"Total","Cesar Valdez","BAL",12,44,7.56,14,2,1,9,7,0,4,1,1,9,0.36842105,0.43181818,0.47368421,0.38413865621699844,9013
"Total","Brad Hand","3 Tms",30,96,5.31147541,21,3,1,20,12,3,16,4,2,18,0.28767123,0.41935484,0.47945205,0.3748731680130691,9111
"Total","Josh Tomlin","ATL",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9388
"Total","Dallas Keuchel","CHW",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9434
"Total","Ryan Buchter","ARI",2,5,18,1,0,0,3,2,1,0,0,2,1,0.33333333,0.6,1.33333333,0.6900767087936401,9456
"Total","David Hale","PHI",5,7,135.00000135,4,1,0,6,5,2,2,1,0,0,0.8,0.85714286,2.2,1.1375759343306224,9756
"Total","Joe Kelly","LAD",10,25,3.375,4,0,0,3,2,0,3,0,2,7,0.2,0.36,0.2,0.2814094352722168,9761
"Total","Garrett Richards","BOS",9,15,9,4,2,0,8,4,0,2,0,0,3,0.30769231,0.4,0.46153846,0.374989120165507,9784
"Total","Rex Brothers","CHC",11,22,26.99999997,6,1,0,8,8,1,7,0,2,3,0.5,0.68181818,0.83333333,0.5931939645247026,9794
"Total","Sergio Romo","OAK",20,37,11.88,11,1,0,12,11,2,4,0,0,6,0.33333333,0.40540541,0.54545455,0.40686466242816,9817
"Total","Brandon Kintzler","PHI",5,15,11.25,3,0,0,5,5,1,2,2,0,4,0.23076923,0.33333333,0.46153846,0.2895868649849525,9939
"Total","Tyler Matzek","ATL",22,50,3.97058824,8,3,0,6,5,0,8,2,0,12,0.19047619,0.32,0.26190476,0.25563573961456615,10058
"Total","Brooks Raley","HOU",19,39,8.64,12,1,0,10,8,2,4,0,0,14,0.34285714,0.41025641,0.54285714,0.40853968797585904,10061
"Total","Ian Krol","DET",1,2,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0.34585827589035034,10066
"Total","Caleb Thielbar","MIN",18,39,1.58823529,4,0,0,2,2,0,1,0,0,9,0.12121212,0.13513514,0.12121212,0.11372804963910901,10078
"Total","Kyle Gibson","PHI",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8790553212165833,10123
"Total","Brad Boxberger","MIL",30,68,3.70588235,12,2,0,9,7,3,6,0,2,20,0.20338983,0.29850746,0.38983051,0.3022447815581934,10133
"Total","Shelby Miller","PIT",1,3,13.49999993,1,0,0,1,1,0,0,0,0,1,0.33333333,0.33333333,0.33333333,0.29301844040552777,10197
"Total","Aroldis Chapman","NYY",38,99,5.54794521,16,3,0,17,15,4,14,1,0,37,0.19753086,0.30927835,0.38271605,0.2984877818574508,10233
"Total","Ryan Tepera","2 Tms",19,37,5.19230769,7,2,0,5,5,2,3,1,0,7,0.21875,0.27027027,0.46875,0.292136925790045,10291
"Total","Erasmo Ramirez","DET",5,4,94.49999953,3,0,0,7,7,1,0,0,0,0,0.75,0.75,1.5,0.9411573112010956,10314
"Total","Juan Minaya","MIN",7,18,8.30769231,3,1,0,5,4,1,1,0,0,7,0.17647059,0.22222222,0.41176471,0.26771872242291767,10341
"Total","Aaron Loup","NYM",27,51,2.13157895,13,3,0,5,3,0,4,0,1,9,0.29545455,0.35294118,0.36363636,0.31380963676116047,10343
"Total","Mychal Givens","2 Tms",30,75,2.36842105,8,1,0,7,5,0,16,2,1,18,0.14545455,0.33333333,0.16363636,0.2438492872943617,10430
"Total","Jake Petricka","LAA",2,8,13.50000003,2,1,0,2,2,0,2,1,0,3,0.33333333,0.5,0.5,0.40177405732018606,10534
"Total","Jimmy Nelson","LAD",9,28,4.5,6,0,0,5,3,0,3,0,1,9,0.26086957,0.37037037,0.26086957,0.298941261238522,10547
"Total","Scott Alexander","LAD",5,12,3.85714286,3,1,0,2,1,0,1,0,1,2,0.3,0.41666667,0.4,0.3677838494380315,10591
"Total","Drew Hutchison","DET",4,9,7.71428573,2,0,0,2,2,0,1,0,0,0,0.25,0.33333333,0.25,0.2722030215793186,10732
"Total","Shane Greene","2 Tms",6,10,23.62499997,0,0,0,7,7,0,2,0,0,4,0,0.2,0,0.13834331035614014,10756
"Total","R.J. Alaniz","CIN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10819
"Total","Adam Kolarek","OAK",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10843
"Total","Chasen Shreve","PIT",13,27,9,4,0,0,7,7,2,4,0,0,3,0.18181818,0.2962963,0.45454545,0.31622274275179263,10855
"Total","Vince Velasquez","PHI",1,2,9,0,0,0,1,1,0,2,0,0,0,0,1,0,0.6917165517807007,11189
"Total","Grant Dayton","ATL",1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11203
"Total","Casey Sadler","SEA",11,17,1.92857143,3,0,0,2,1,0,0,0,1,4,0.1875,0.23529412,0.1875,0.19759402555577896,11209
"Total","Jose Quintana","2 Tms",4,6,13.50000003,2,0,0,2,2,1,1,0,0,1,0.4,0.5,1,0.5962150792280833,11423
"Total","Drew Pomeranz","SDP",7,17,3.6,2,0,0,2,2,0,2,0,0,6,0.13333333,0.23529412,0.13333333,0.18479669094085693,11426
"Total","Brandon Workman","2 Tms",6,15,13.49999997,4,0,0,6,5,2,3,2,0,0,0.33333333,0.46666667,0.83333333,0.4971434153043307,11428
"Total","A.J. Cole","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11467
"Total","Joely Rodriguez","2 Tms",18,45,8.67857142,14,2,0,11,9,0,4,1,0,8,0.36842105,0.40909091,0.42105263,0.35132805968439856,11487
"Total","Josh Osich","CIN",6,9,16.19999997,4,0,0,4,3,2,0,0,0,2,0.44444444,0.44444444,1.11111111,0.6412386496861776,11528
"Total","Jose Urena","DET",6,9,9.81818181,1,1,0,4,4,0,0,0,0,3,0.11111111,0.11111111,0.22222222,0.1379607253604465,11589
"Total","Heath Hembree","2 Tms",20,54,6.92307692,6,0,0,12,10,3,9,1,1,22,0.13636364,0.2962963,0.34090909,0.281365785958632,11632
"Total","Luke Jackson","ATL",25,52,2.025,8,1,0,3,3,0,6,2,1,9,0.18181818,0.28846154,0.20454545,0.21767664909362794,11752
"Total","Kyle Ryan","CHC",2,4,27.00000027,1,0,0,1,1,0,2,0,0,0,1,1,1,0.7541628082593282,11753
"Total","Drew Smyly","ATL",1,2,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,11760
"Total","Hansel Robles","2 Tms",35,77,6.86440678,17,6,0,20,15,3,4,1,1,21,0.23943662,0.28947368,0.45070423,0.3106527956326803,11801
"Total","Hector Neris","PHI",29,74,5.09433962,15,1,0,13,10,4,8,0,0,19,0.234375,0.31506849,0.4375,0.32317817211151123,11804
"Total","Alberto Baldonado","WSN",4,8,10.79999998,1,0,0,2,2,0,2,0,0,1,0.2,0.42857143,0.2,0.32321263211114065,11812
"Total","Chris Martin","ATL",16,41,9.31034482,12,1,0,11,10,1,1,0,1,2,0.32432432,0.35,0.43243243,0.3363091841340065,11847
"Total","Jason Adam","CHC",2,2,27.00000027,1,1,0,1,1,0,0,0,0,0,0.5,0.5,1,0.6208232641220093,11861
"Total","Michael Feliz","CIN",2,1,81.00000081,0,0,0,3,3,0,0,0,0,1,0,0,0,0,11903
"Total","Matt Andriese","BOS",11,25,14.53846155,9,4,0,10,7,1,2,0,0,3,0.45,0.45833333,0.8,0.49469829599062604,12022
"Total","Yimi Garcia","2 Tms",32,90,6.23076923,18,3,2,20,15,3,11,5,0,23,0.24324324,0.32954545,0.45945946,0.31110005924500617,12095
"Total","Domingo Tapia","2 Tms",13,27,3.85714286,5,2,0,3,3,0,4,2,0,4,0.2173913,0.33333333,0.30434783,0.26015568494796754,12178
"Total","Dan Winkler","CHC",12,28,6.75,3,1,0,4,4,0,7,1,4,3,0.17647059,0.5,0.23529412,0.37176986535390216,12237
"Total","Ryan Sherriff","TBR",5,7,36,3,1,0,5,4,0,0,0,0,2,0.42857143,0.42857143,0.57142857,0.42853673866816927,12249
"Total","Evan Marshall","CHW",12,28,6.13636364,6,1,1,5,5,1,2,1,0,8,0.26086957,0.2962963,0.52173913,0.3132702364371373,12297
"Total","Jacob Barnes","2 Tms",3,4,53.99999973,3,1,0,4,4,2,0,0,0,1,0.75,0.75,2.5,1.3136709332466125,12323
"Total","Spencer Patton","TEX",15,37,5.4,11,1,0,7,5,1,4,0,0,6,0.33333333,0.40540541,0.45454545,0.37639268185641317,12361
"Total","Seth Lugo","NYM",21,56,3.375,11,2,0,5,5,0,9,2,1,14,0.25,0.375,0.29545455,0.2955322089018645,12447
"Total","Blake Treinen","LAD",40,87,3.42253521,12,1,0,13,9,2,9,1,0,26,0.15584416,0.24137931,0.24675325,0.21744086090908493,12572
"Total","Nick Ramirez","SDP",2,4,0,1,0,0,1,0,0,1,0,0,0,0.33333333,0.5,0.33333333,0.392692968249321,12575
"Total","Adam Morgan","CHC",10,13,2.25,2,1,1,2,1,0,1,0,0,2,0.2,0.23076923,0.5,0.2693339677957388,12580
"Total","Mike Wright Jr.","CHW",4,4,18,1,0,0,3,2,0,0,0,0,2,0.25,0.25,0.25,0.2197638303041458,12586
"Total","Ryne Harper","WSN",5,7,21.59999996,1,0,0,4,4,1,1,0,1,0,0.2,0.42857143,0.8,0.48859537499291555,12680
"Total","Adrian Houser","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12718
"Total","Rafael Montero","2 Tms",20,56,12.34285714,13,2,0,18,16,3,5,1,4,5,0.2826087,0.39285714,0.52173913,0.3852706822482022,12760
"Total","Chris Devenski","ARI",2,7,10.79999998,2,0,0,2,2,1,0,0,0,3,0.28571429,0.28571429,0.71428571,0.4122248462268284,12763
"Total","John Brebbia","SFG",2,4,9,1,0,0,1,1,0,1,1,0,0,0.33333333,0.5,0.33333333,0.29301844040552777,12777
"Total","Burch Smith","OAK",7,11,15.42857145,5,2,0,5,4,0,0,0,0,0,0.45454545,0.45454545,0.63636364,0.46549627455798065,12784
"Total","Noe Ramirez","ARI",11,27,9.52941176,4,1,0,7,6,1,3,0,3,8,0.21052632,0.37037037,0.42105263,0.3424897348439252,12800
"Total","Matt Wisler","2 Tms",21,43,7.83870967,12,1,0,11,9,1,1,1,1,9,0.30769231,0.3255814,0.41025641,0.30382501937094186,12804
"Total","Andrew Kittredge","TBR",23,63,3.06818182,14,0,0,8,5,2,6,5,0,18,0.25,0.32258065,0.35714286,0.2676038177389848,12828
"Total","Shawn Armstrong","2 Tms",5,6,27,1,1,0,3,3,0,2,0,0,1,0.25,0.5,0.5,0.43751327196757,12857
"Total","Matt Barnes","BOS",33,81,4.35483871,13,3,0,12,10,3,9,2,0,31,0.18309859,0.27160494,0.35211268,0.2625303607952746,12863
"Total","Alex Claudio","LAA",5,9,5.39999999,1,0,0,2,1,0,3,1,0,1,0.16666667,0.44444444,0.16666667,0.2828110530972481,12890
"Total","Archie Bradley","PHI",20,44,8.4375,9,1,0,11,10,1,2,0,2,12,0.23076923,0.29545455,0.33333333,0.2779284187338569,12918
"Total","Joe Ross","WSN",1,3,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12972
"Total","Andrew Chafin","2 Tms",29,58,4.2,11,3,0,7,7,2,3,0,1,14,0.21153846,0.25862069,0.38461538,0.27257570418818244,12988
"Total","Reymin Guduan","OAK",1,2,0,1,0,0,0,0,0,0,0,0,0,1,0.5,1,0.4395276606082916,13058
"Total","Derek Law","MIN",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8790553212165833,13133
"Total","Kyle Crick","PIT",7,23,8.43750001,2,0,0,7,5,0,6,0,1,5,0.14285714,0.40909091,0.14285714,0.30137920108708466,13182
"Total","Jordan Weems","ARI",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8790553212165833,13190
"Total","Joe Biagini","CHC",1,6,0,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.14438649415969848,13194
"Total","Michael Fulmer","DET",25,63,2.64705882,11,1,0,7,5,2,3,2,1,22,0.18965517,0.23809524,0.31034483,0.22460287418521818,13218
"Total","Louis Head","TBR",2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13259
"Total","Ross Stripling","TOR",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13273
"Total","Jesse Hahn","KCR",4,7,16.19999997,2,0,0,3,3,1,1,0,0,1,0.33333333,0.42857143,0.83333333,0.5110414964812142,13287
"Total","Danny Coulombe","MIN",5,12,3.85714286,2,1,0,2,1,0,3,1,0,0,0.22222222,0.41666667,0.33333333,0.3185577230020003,13293
"Total","Adrian Sampson","CHC",3,10,4.5,3,0,0,4,1,1,1,0,0,5,0.33333333,0.4,0.66666667,0.4456345796585083,13339
"Total","Luis Cessa","2 Tms",12,21,4.76470588,3,0,0,5,3,0,2,0,0,5,0.16666667,0.25,0.16666667,0.20102995336055757,13345
"Total","Hoby Milner","MIL",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13346
"Total","Cam Bedrosian","PHI",3,5,27,3,1,0,3,3,1,0,0,0,1,0.6,0.6,1.4,0.8254440903663636,13360
"Total","Dylan Floro","MIA",33,99,6.23076923,24,5,0,18,15,1,12,2,0,20,0.27906977,0.36363636,0.37209302,0.3191228097247094,13394
"Total","Sam Selman","2 Tms",4,7,45,3,0,0,6,5,1,1,0,0,1,0.5,0.57142857,1,0.6366208280835833,13397
"Total","Pierce Johnson","SDP",16,30,6.23076923,4,1,0,6,6,0,3,1,0,8,0.14814815,0.23333333,0.18518519,0.18145674467086792,13435
"Total","Taylor Rogers","MIN",25,69,3,15,3,0,9,6,1,3,2,0,25,0.24193548,0.26865672,0.33870968,0.2475812811117906,13449
"Total","Lucas Sims","CIN",25,65,8.59090909,13,5,0,17,14,3,9,3,1,21,0.24528302,0.35384615,0.50943396,0.3466983360628928,13470
"Total","Daniel Norris","2 Tms",15,26,22.23529414,9,1,0,15,14,2,2,1,0,3,0.375,0.42307692,0.66666667,0.448829288482666,13475
"Total","Richard Rodriguez","2 Tms",26,69,3,12,1,0,6,6,1,3,1,1,12,0.18461538,0.23188406,0.24615385,0.20800123407560236,13549
"Total","Steven Okert","MIA",5,9,10.79999998,0,0,0,3,2,0,4,2,0,1,0,0.5,0,0.23057218392690024,13580
"Total","Robert Stephenson","COL",12,20,3.375,5,1,2,4,2,1,1,0,1,5,0.3125,0.35,0.8125,0.43384132385253904,13594
"Total","Shawn Morimando","MIA",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13606
"Total","Carl Edwards Jr.","TOR",2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13607
"Total","Jakob Junis","KCR",3,6,16.19999997,1,0,0,3,3,1,1,0,0,1,0.2,0.33333333,0.8,0.4497058590253194,13619
"Total","Clay Holmes","2 Tms",25,52,2.76923077,11,1,0,7,4,0,3,0,1,13,0.23404255,0.28846154,0.25531915,0.24671695897212395,13649
"Total","Jharel Cotton","TEX",5,7,20.25000005,3,0,0,3,3,0,0,0,0,2,0.42857143,0.42857143,0.42857143,0.3767379948071071,13654
"Total","Corey Oswalt","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677
"Total","John Gant","STL",2,5,0,1,0,0,0,0,0,0,0,2,0,0.33333333,0.6,0.33333333,0.4645840525627136,13684
"Total","Sal Romano","3 Tms",4,8,9.00000009,3,0,0,2,1,0,1,0,1,0,0.5,0.625,0.5,0.5063518732786179,13690
"Total","Jake Faria","ARI",3,4,40.4999998,1,0,1,3,3,0,1,0,0,0,0.33333333,0.5,1,0.5649237632751465,13699
"Total","Joey Krehbiel","BAL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13707
"Total","Kyle Barraclough","MIN",3,4,0,0,0,0,0,0,0,0,0,1,1,0,0.25,0,0.1804831176996231,13713
"Total","Tyler Duffey","MIN",30,71,4.0754717,15,1,1,10,8,0,7,1,1,14,0.24590164,0.32857143,0.29508197,0.27695037662119104,13758
"Total","Chris Stratton","PIT",22,48,6.54545455,11,1,1,8,8,1,4,2,0,13,0.25581395,0.3125,0.39534884,0.28765259359193884,13761
"Total","Dominic Leone","SFG",23,48,2.18918919,7,1,0,9,3,0,6,1,0,6,0.18918919,0.29545455,0.21621622,0.23196653987086097,13763
"Total","JT Chargois","2 Tms",17,34,5.625,5,1,0,6,5,2,6,1,1,11,0.18518519,0.35294118,0.44444444,0.3391912001552004,13767
"Total","Matt Strahm","SDP",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13799
"Total","Austin Adams","SDP",12,36,2.7,4,1,0,4,2,0,10,1,2,9,0.18181818,0.47058824,0.22727273,0.3499432242277897,13801
