Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Neftali Feliz","PHI",2,5,81.00000081,2,0,0,3,3,1,1,0,1,1,0.66666667,0.8,1.66666667,0.8598445892333985,18
"Total","Matt Bush","TEX",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1246
"Total","Adam Ottavino","BOS",40,100,4.06849315,18,4,0,12,11,0,10,0,1,28,0.20689655,0.29292929,0.25287356,0.2516409959455933,1247
"Total","Oliver Perez","CLE",1,3,0,1,0,0,1,0,0,1,1,0,0,0.5,0.66666667,0.5,0.4395276606082916,1514
"Total","Sean Doolittle","2 Tms",15,32,5.68421053,9,3,0,6,4,0,3,1,1,5,0.33333333,0.40625,0.44444444,0.35821409956101447,1581
"Total","Matt Moore","PHI",3,4,13.50000003,1,0,0,2,2,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.29301844040552777,1890
"Total","Zack Greinke","HOU",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1943
"Total","Jhoulys Chacin","COL",19,47,5.53846154,5,1,0,9,8,1,6,0,0,10,0.12195122,0.23404255,0.2195122,0.21352405116913167,2608
"Total","Ross Detwiler","2 Tms",4,8,0,0,0,0,0,0,0,2,0,0,1,0,0.25,0,0.17292913794517517,2859
"Total","Kenley Jansen","LAD",40,130,3.19354839,19,2,0,15,11,2,20,3,1,29,0.18095238,0.3125,0.25714286,0.257306191444397,3096
"Total","Tony Watson","2 Tms",24,48,8.52631579,10,1,0,13,12,1,3,0,0,5,0.22222222,0.27083333,0.31111111,0.25741161157687503,3132
"Total","David Price","LAD",6,14,0,1,0,0,0,0,0,1,1,0,4,0.08333333,0.15384615,0.08333333,0.07325461010138194,3184
"Total","Will Harris","WSN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3192
"Total","Ervin Santana","KCR",3,11,0,1,0,0,1,0,0,3,1,0,2,0.125,0.36363636,0.125,0.22624884247779847,3200
"Total","T.J. McFarland","STL",13,27,3.375,5,2,1,3,3,1,5,1,0,3,0.22727273,0.37037037,0.54545455,0.37321968032763553,3237
"Total","Zack Britton","NYY",14,33,7.71428572,8,1,0,10,8,1,4,0,0,5,0.28571429,0.36363636,0.42857143,0.3421019171223496,3240
"Total","Joe Smith","2 Tms",12,21,15.75,6,0,0,7,7,1,3,2,1,3,0.375,0.47619048,0.5625,0.41133917005438553,3281
"Total","Darren O'Day","NYY",6,14,2.45454545,3,1,0,1,1,0,0,0,0,4,0.21428571,0.21428571,0.28571429,0.21426836933408464,3321
"Total","Liam Hendriks","CHW",33,74,3.48387097,11,0,0,10,8,5,3,1,0,29,0.15492958,0.18918919,0.36619718,0.22863504168105453,3548
"Total","Yusmeiro Petit","OAK",27,53,7.07142857,10,1,1,11,11,2,0,0,0,6,0.19607843,0.19230769,0.37254902,0.2326345031078045,4020
"Total","Hector Santiago","SEA",2,4,40.4999998,1,0,0,3,3,0,1,0,0,1,0.5,0.5,0.5,0.392692968249321,4026
"Total","Derek Holland","DET",6,18,11.25,3,1,0,6,5,2,4,1,0,4,0.21428571,0.38888889,0.71428571,0.43116666990167957,4141
"Total","Rafael Dolis","TOR",14,28,10.5,8,0,0,8,7,1,1,0,0,4,0.2962963,0.32142857,0.40740741,0.3161293715238571,4185
"Total","Mark Melancon","SDP",38,123,3.33707865,22,4,0,14,11,2,16,4,1,26,0.21153846,0.31707317,0.30769231,0.2694709205827793,4264
"Total","Justin Wilson","2 Tms",7,14,2.25,2,1,0,2,1,1,0,0,0,3,0.14285714,0.14285714,0.42857143,0.2320117950439453,4301
"Total","Tyler Chatwood","2 Tms",12,29,15.88235293,7,1,0,12,10,1,5,0,2,4,0.31818182,0.48275862,0.5,0.43261687714478064,4338
"Total","Nate Jones","2 Tms",5,18,0,3,1,0,2,0,0,5,3,0,1,0.23076923,0.44444444,0.30769231,0.2922126849492391,4696
"Total","Matt Shoemaker","MIN",2,10,4.5,2,1,0,1,1,0,2,1,0,3,0.25,0.4,0.375,0.31249093347125584,4776
"Total","Rich Hill","NYM",1,2,18,2,1,0,2,2,0,0,0,0,0,1,1,1.5,1.060350924730301,4806
"Total","Scott Kazmir","SFG",1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4897
"Total","Fernando Abad","BAL",4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4994
"Total","Jake Diekman","OAK",20,51,4.90909091,11,0,0,8,6,2,6,0,0,15,0.24444444,0.33333333,0.37777778,0.3151928314975664,5003
"Total","Jeurys Familia","NYM",18,50,6.96774194,12,0,0,10,8,2,8,2,1,15,0.3,0.42857143,0.45,0.3760813233700204,5114
"Total","Blake Parker","CLE",8,18,8.30769231,1,0,0,4,4,1,3,0,0,5,0.07142857,0.22222222,0.28571429,0.22675934765073988,5224
"Total","Jose Alvarez","SFG",15,27,3.375,5,0,0,4,2,0,5,0,0,4,0.22727273,0.37037037,0.22727273,0.2908836801846822,5358
"Total","Michael Pineda","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5372
"Total","Jesse Chavez","ATL",7,13,5.40000001,3,0,0,3,2,0,1,0,0,2,0.25,0.30769231,0.25,0.25606788580234235,5448
"Total","Ryan Brasier","BOS",4,5,0,2,0,0,3,0,1,0,0,0,1,0.4,0.4,1,0.5771147847175598,5615
"Total","Tyler Clippard","ARI",15,40,3.85714286,6,0,0,6,4,1,4,1,2,7,0.17647059,0.3,0.26470588,0.25437973859982616,5640
"Total","Junior Guerra","LAA",6,13,16.87499998,4,1,0,5,5,1,1,0,0,4,0.36363636,0.38461538,0.72727273,0.4383071019099309,5702
"Total","David Phelps","TOR",3,9,0,2,1,0,0,0,0,2,0,0,1,0.28571429,0.44444444,0.42857143,0.3893483281135559,6316
"Total","Chris Archer","TBR",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8790553212165833,6345
"Total","Trevor May","NYM",19,48,8.4375,8,3,0,14,10,1,10,3,0,9,0.21052632,0.375,0.36842105,0.3131043407652113,6398
"Total","Jose Cisnero","DET",31,63,6.13636363,13,3,0,16,10,2,6,1,3,18,0.25490196,0.36065574,0.43137255,0.33991332550843556,6399
"Total","Steve Cishek","LAA",28,63,3.6,11,1,0,8,6,1,9,1,2,13,0.22,0.35483871,0.3,0.2973321373345422,6483
"Total","Blaine Hardy","MIL",1,4,26.99999987,2,0,0,3,2,0,0,0,0,0,0.66666667,0.66666667,0.66666667,0.5860368808110555,6499
