Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Drew VerHagen","STL",6,13,23.14285718,4,1,0,7,6,1,3,0,0,1,0.4,0.53846154,0.8,0.5512204078527597,13424
"Total","Pierce Johnson","SDP",4,9,9,1,1,0,2,2,0,2,0,0,4,0.14285714,0.33333333,0.28571429,0.2934372027715047,13435
"Total","Taylor Rogers","SDP",21,52,7.2972973,10,2,1,11,10,1,4,1,3,13,0.23255814,0.32692308,0.39534884,0.30839791835523117,13449
"Total","Lucas Sims","CIN",2,6,0,1,0,0,0,0,0,1,0,0,3,0.25,0.33333333,0.25,0.26243146260579425,13470
"Total","Daniel Norris","CHC",4,9,19.28571431,2,0,0,6,5,1,1,0,0,2,0.25,0.33333333,0.625,0.40449314647250706,13475
"Total","Steven Okert","MIA",7,13,6,2,0,0,2,2,1,1,0,1,6,0.18181818,0.30769231,0.45454545,0.33552992802399856,13580
"Total","Robert Stephenson","COL",3,5,27,2,1,0,5,3,0,0,0,0,1,0.4,0.4,0.6,0.42904675006866455,13594
"Total","Carl Edwards Jr.","WSN",7,14,15,4,1,0,6,5,0,2,0,0,3,0.36363636,0.42857143,0.45454545,0.37817223582948956,13607
"Total","Clay Holmes","NYY",15,38,1.63636364,7,1,0,3,2,0,0,0,2,9,0.19444444,0.23684211,0.22222222,0.21080515886607923,13649
"Total","Jharel Cotton","MIN",5,9,13.5,3,1,0,4,3,2,0,0,0,2,0.33333333,0.33333333,1.11111111,0.5991600751876831,13654
"Total","Robert Gsellman","CHC",2,6,6.75000002,2,0,0,3,1,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.2948307196299235,13696
"Total","Joey Krehbiel","BAL",8,17,10.38461539,4,0,0,5,5,1,0,0,0,3,0.25,0.23529412,0.4375,0.27760741289924173,13707
"Total","Kyle Barraclough","LAA",2,8,13.50000003,1,0,0,2,2,0,3,0,0,3,0.2,0.5,0.2,0.3693477511405945,13713
"Total","Tyler Duffey","MIN",8,17,14.72727271,6,5,0,6,6,0,1,0,0,3,0.375,0.41176471,0.6875,0.4634292195825016,13758
"Total","Chris Stratton","PIT",17,44,8.67857143,13,2,0,12,9,2,4,1,1,9,0.34210526,0.41860465,0.55263158,0.414413149867739,13761
"Total","Dominic Leone","SFG",13,26,2.7,5,1,0,2,2,0,3,1,0,5,0.2173913,0.30769231,0.26086957,0.24715613842010498,13763
"Total","Matt Strahm","BOS",20,38,6.75,9,2,0,9,7,1,1,0,0,12,0.25,0.26315789,0.38888889,0.2785363762002242,13799
"Total","Alec Mills","CHC",1,4,0,1,0,0,1,0,0,1,1,0,0,0.33333333,0.5,0.33333333,0.2948307196299235,13834
"Total","Paul Sewald","SEA",16,36,3,5,1,0,3,3,1,4,3,0,6,0.15625,0.25,0.28125,0.20212618871168656,13892
"Total","Brent Suter","MIL",6,10,7.71428573,2,0,0,4,2,1,0,0,0,2,0.2,0.2,0.5,0.29503417015075684,13942
"Total","Chris Mazza","TBR",1,5,9,0,0,0,2,1,0,1,0,1,1,0,0.4,0,0.28230947256088257,14151
"Total","Josh Hader","MIL",17,46,0.75,4,1,0,1,1,1,6,0,0,17,0.1,0.2173913,0.2,0.20078598157219266,14212
"Total","Wandy Peralta","NYY",9,20,6.35294117,3,0,0,4,4,1,1,0,0,1,0.15789474,0.2,0.31578947,0.2262465238571167,14295
"Total","Joel Payamps","KCR",5,11,9,6,1,0,2,1,1,2,1,0,1,0.66666667,0.72727273,1.11111111,0.7554656386375427,14332
"Total","Ty Blach","COL",5,9,19.28571431,2,0,0,5,5,2,1,1,0,1,0.28571429,0.33333333,1.14285714,0.5164623856544495,14361
"Total","Amir Garrett","KCR",4,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14375
"Total","Jackson Stephens","ATL",3,8,6.75000002,3,2,0,4,1,0,1,1,0,1,0.42857143,0.5,0.71428571,0.48656790597098215,14420
"Total","J.B. Wendelken","ARI",6,6,6.74999999,1,0,0,2,2,1,0,0,0,1,0.16666667,0.16666667,0.66666667,0.3443082571029663,14506
"Total","Jorge Lopez","BAL",20,64,3.24,11,0,2,9,6,2,4,0,1,15,0.19298246,0.25,0.36842105,0.26568302419036627,14527
"Total","Carlos Estevez","COL",5,11,7.71428573,1,0,0,5,2,0,3,0,1,1,0.14285714,0.45454545,0.14285714,0.3342029777440158,14542
"Total","Jose Ruiz","CHW",6,10,21.59999996,3,1,0,5,4,1,2,0,0,2,0.42857143,0.5,1,0.5591276526451111,14552
"Total","Rowan Wick","CHC",14,43,6.96774194,10,1,1,11,8,1,3,1,0,8,0.25641026,0.30232558,0.41025641,0.2975617987768991,14646
"Total","Duane Underwood Jr.","PIT",5,9,20.25000005,3,0,0,4,3,0,1,0,0,1,0.375,0.44444444,0.375,0.3715081214904785,14677
"Total","Andres Machado","WSN",3,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.17252415418624878,14681
"Total","Luis Perdomo","MIL",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14682
"Total","Anthony Banda","PIT",7,11,16.19999997,5,1,0,3,3,1,1,0,0,1,0.55555556,0.54545455,1,0.6063785661350597,14706
"Total","Edwin Diaz","NYM",19,47,2.07692308,9,1,0,3,3,0,4,1,0,23,0.20930233,0.27659574,0.23255814,0.22623845027840656,14710
"Total","Emilio Pagan","MIN",17,46,11.57142858,9,3,0,13,12,3,9,0,0,14,0.24324324,0.39130435,0.56756757,0.4096547702084417,14771
"Total","Joe Mantiply","ARI",13,24,6,9,0,0,4,4,1,0,0,0,3,0.375,0.375,0.5,0.3809077839056651,14857
"Total","Sam Moll","OAK",10,19,9,5,0,0,5,4,1,3,1,0,5,0.33333333,0.42105263,0.53333333,0.38800063398149276,14874
"Total","Caleb Smith","ARI",4,8,0,1,0,0,0,0,0,2,0,0,0,0.16666667,0.375,0.16666667,0.2830856740474701,14875
"Total","Reyes Moronta","LAD",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14966
"Total","Giovanny Gallegos","STL",17,37,3.6,6,1,0,5,4,1,4,1,0,11,0.18181818,0.27027027,0.3030303,0.2481902672184838,14986
"Total","Scott Barlow","KCR",21,46,4.84615385,6,0,1,8,7,3,3,0,0,13,0.14285714,0.19565217,0.4047619,0.252960627493651,14993
"Total","Kyle Finnegan","WSN",14,34,7.26923077,9,2,0,7,7,2,2,1,0,9,0.28125,0.32352941,0.53125,0.35653756604050146,15009
"Total","Corey Knebel","PHI",16,53,7.83870968,11,3,0,13,9,1,12,1,1,6,0.28205128,0.45283019,0.43589744,0.3913852492204079,15010
"Total","Chase De Jong","PIT",5,9,0,2,0,0,2,0,0,1,0,0,1,0.25,0.33333333,0.25,0.2732312149471707,15036
"Total","Tim Mayza","TOR",10,19,3.85714285,4,0,0,3,2,0,2,0,0,6,0.23529412,0.31578947,0.23529412,0.25885062468679326,15042
"Total","Lou Trivino","OAK",14,34,5.4,10,3,0,6,4,0,4,1,0,10,0.33333333,0.41176471,0.43333333,0.3649684768734556,15043
"Total","Trevor Gott","MIL",6,11,23.14285718,4,0,0,7,6,2,0,0,0,2,0.36363636,0.36363636,0.90909091,0.5364257639104669,15046
"Total","Yency Almonte","LAD",3,8,3.85714286,1,0,0,1,1,0,1,1,0,3,0.14285714,0.25,0.14285714,0.12635602269853866,15068
"Total","Tyler Danish","BOS",8,16,9.81818181,3,0,0,4,4,1,3,0,0,1,0.23076923,0.375,0.46153846,0.36907023191452026,15126
"Total","Ashton Goudeau","COL",4,5,6.75000002,1,1,0,1,1,0,1,0,0,1,0.25,0.4,0.5,0.39016764163970946,15139
"Total","Jimmy Yacabonis","MIA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15157
"Total","Cole Sulser","MIA",9,20,12.6,5,1,0,8,7,2,2,0,0,3,0.27777778,0.35,0.66666667,0.42708091139793397,15256
"Total","Keynan Middleton","ARI",2,2,27.00000027,1,0,0,1,1,1,0,0,0,0,0.5,0.5,2,1.032924771308899,15264
"Total","Adam Cimber","TOR",15,29,2,7,1,0,3,2,0,0,0,0,5,0.28,0.25925926,0.32,0.2432479461034139,15288
"Total","Mike Mayers","LAA",2,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,1.032924771308899,15451
"Total","Kendall Graveman","CHW",17,49,3.08571428,8,2,0,8,4,0,8,1,0,10,0.2,0.32653061,0.25,0.2637315094470978,15514
"Total","Tyler Rogers","SFG",19,41,12.6,13,1,1,14,14,1,1,0,1,5,0.35135135,0.36585366,0.51351351,0.37030307694179254,15541
"Total","Mark Leiter Jr.","CHC",3,6,9,0,0,0,2,2,0,0,0,1,1,0,0.16666667,0,0.12024179100990295,15551
"Total","Chad Green","NYY",8,23,6.35294117,5,2,0,5,4,1,1,0,0,7,0.25,0.27272727,0.5,0.3202915300022472,15552
"Total","Nick Wittgren","STL",6,7,21.59999996,1,0,0,4,4,0,1,0,0,0,0.16666667,0.28571429,0.16666667,0.22494125366210938,15594
"Total","Phillips Valdez","BOS",1,3,81.00000081,0,0,0,3,3,0,1,0,1,0,0,0.66666667,0,0.47051578760147095,15605
"Total","Miguel Castro","NYY",11,18,5.0625,3,0,0,4,3,0,0,0,0,8,0.17647059,0.17647059,0.17647059,0.15608685156878302,15684
"Total","Joe Jimenez","DET",2,5,0,1,0,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.1768984317779541,15761
"Total","Devin Williams","MIL",21,50,5.25,7,1,0,7,7,0,8,0,1,20,0.17073171,0.32,0.19512195,0.25619836449623107,15816
"Total","Zack Littell","SFG",4,8,10.79999998,4,0,0,2,2,0,0,0,0,0,0.5,0.5,0.5,0.44224607944488525,15823
"Total","Paul Fry","BAL",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15832
"Total","Victor Arano","WSN",7,10,10.12499999,3,0,0,3,3,0,0,0,0,2,0.3,0.3,0.3,0.26534764766693114,15915
"Total","Ryne Stanek","HOU",9,21,1.6875,4,1,0,1,1,0,2,0,0,8,0.22222222,0.28571429,0.27777778,0.2521148238863264,15947
"Total","Zach Thompson","PIT",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16094
"Total","Jordan Romano","TOR",20,66,4.5,16,2,0,9,8,2,4,0,0,16,0.25806452,0.3030303,0.38709677,0.3034465854818171,16122
"Total","Jake Reed","NYM",2,2,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0.34504830837249756,16209
"Total","Aaron Bummer","CHW",10,24,7.94117647,4,0,0,6,5,1,3,0,1,9,0.21052632,0.33333333,0.36842105,0.312961108982563,16258
"Total","Ryan Borucki","TOR",3,6,40.4999998,3,0,0,3,3,1,1,0,0,0,0.6,0.66666667,1.2,0.7541550795237223,16350
"Total","Ryan Castellani","OAK",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16377
"Total","Reynaldo Lopez","CHW",8,19,8.30769231,6,4,0,6,4,0,1,0,0,4,0.375,0.41176471,0.625,0.44129690001992616,16400
"Total","Blake Taylor","HOU",5,6,10.79999998,1,0,0,2,2,0,0,0,0,3,0.16666667,0.16666667,0.16666667,0.14741535981496176,16418
"Total","James Norwood","PHI",2,2,13.49999993,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16440
"Total","Dusten Knight","TBR",1,6,0,0,0,0,1,0,0,1,1,0,1,0,0.2,0,0,16537
"Total","Erik Swanson","SEA",3,5,0,1,0,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.1768984317779541,16587
"Total","Bryan Abreu","HOU",5,10,3.375,1,1,0,2,1,0,1,0,0,6,0.125,0.2,0.25,0.19508382081985473,16609
"Total","J.P. Feyereisen","TBR",9,16,0,2,0,0,0,0,0,1,0,0,3,0.13333333,0.1875,0.13333333,0.1536925584077835,16610
"Total","Ryan Thompson","TBR",11,23,10.38461539,8,0,0,9,5,1,3,1,0,5,0.4,0.47826087,0.55,0.43806763128800824,16647
"Total","Julian Merryweather","TOR",5,11,18,5,2,0,4,4,2,1,1,0,2,0.5,0.54545455,1.3,0.753767442703247,16703
"Total","Tim Hill","SDP",8,15,5.78571428,2,0,0,3,3,0,0,0,1,1,0.15384615,0.2,0.15384615,0.1660290042559306,16814
"Total","Reed Garrett","WSN",1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0.8844921588897705,16866
"Total","Luke Weaver","ARI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16918
"Total","Trevor Williams","NYM",2,7,0,2,0,0,2,0,0,0,0,0,1,0.33333333,0.33333333,0.33333333,0.2948307196299235,16977
"Total","Daniel Mengden","KCR",1,4,0,1,0,0,1,0,0,0,0,0,1,0.33333333,0.25,0.33333333,0.22112303972244263,16980
"Total","Tyler Beede","PIT",3,11,3.85714286,2,0,0,2,1,0,2,0,0,2,0.22222222,0.36363636,0.22222222,0.2862888682972301,16981
"Total","Tanner Banks","CHW",2,8,0,0,0,0,0,0,0,1,0,0,3,0,0.125,0,0.08626207709312439,16990
"Total","Domingo Acevedo","OAK",9,15,5.40000001,5,2,0,2,2,1,1,1,0,1,0.35714286,0.4,0.71428571,0.4540226459503174,17092
"Total","Austin Davis","BOS",5,6,5.39999999,0,0,0,1,1,0,1,0,0,2,0,0.16666667,0,0.11501610279083252,17117
"Total","Raisel Iglesias","LAA",11,28,12,8,0,0,10,8,3,1,0,1,9,0.32,0.37037037,0.68,0.4456132142632096,17130
"Total","Gabe Speier","KCR",3,7,6.75000002,3,0,0,1,1,0,0,0,0,1,0.5,0.42857143,0.5,0.37906806809561594,17170
"Total","Dinelson Lamet","SDP",1,2,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0.8029714524745941,17186
