Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Javy Guerra","WSN",3,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.31626741886138915,7407
"Total","Wade Davis","COL",2,8,21.59999996,2,0,0,4,4,1,1,1,0,1,0.28571429,0.375,0.71428571,0.40880630697522846,7441
"Total","Gio Gonzalez","CHW",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7448
"Total","Jake McGee","LAD",6,8,3.85714286,1,1,0,1,1,0,0,0,0,3,0.14285714,0.14285714,0.28571429,0.17687174252101354,7550
"Total","Nick Vincent","MIA",6,16,4.15384616,3,0,0,2,2,0,1,0,0,2,0.2,0.25,0.2,0.2091492936015129,7555
"Total","Jordan Lyles","TEX",1,5,27,2,0,0,3,3,0,0,0,0,1,0.4,0.4,0.4,0.35301032066345217,7593
"Total","Richard Bleier","MIA",6,8,3.375,1,0,0,2,1,0,0,0,0,1,0.125,0.125,0.125,0.1103157252073288,7803
"Total","Hunter Strickland","NYM",1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0.8825258016586304,7836
"Total","Anthony Bass","TOR",13,30,4.90909091,7,1,0,7,4,1,4,2,0,4,0.28,0.37931034,0.44,0.33435081994092025,7982
"Total","Marcus Walden","BOS",6,11,3,3,1,0,3,1,0,0,0,0,0,0.27272727,0.27272727,0.36363636,0.2730139819058505,8004
"Total","Will Smith","ATL",5,7,4.5,1,0,0,1,1,1,1,0,0,2,0.16666667,0.28571429,0.66666667,0.38256137711661203,8048
"Total","Bryan Shaw","SEA",1,2,54.00000054,1,1,0,2,2,0,0,0,0,0,0.5,0.5,1,0.6190510988235474,8110
"Total","Deolis Guerra","PHI",3,4,54.00000054,3,0,0,4,2,1,0,0,0,0,0.75,0.75,1.5,0.9360424876213074,8410
"Total","Oliver Drake","TBR",2,10,3.85714286,2,0,0,2,1,0,2,1,0,2,0.28571429,0.44444444,0.28571429,0.307982861995697,8823
"Total","Cesar Valdez","BAL",4,11,0,2,2,0,0,0,0,0,0,0,1,0.18181818,0.18181818,0.36363636,0.22510949048128995,9013
"Total","Kirby Yates","SDP",3,8,13.50000003,0,0,0,2,2,0,4,0,0,3,0,0.5,0,0.3494056463241577,9073
"Total","Brad Hand","CLE",12,31,1.125,5,2,1,2,1,0,2,0,1,12,0.18518519,0.25806452,0.33333333,0.25565942641227474,9111
"Total","Jared Hughes","NYM",5,4,40.4999998,2,1,0,4,3,0,0,0,0,1,0.5,0.5,0.75,0.5301569998264313,9325
"Total","Ryan Buchter","LAA",3,4,27.00000027,2,0,0,2,1,1,1,0,0,1,0.66666667,0.75,1.66666667,0.8901138603687286,9456
"Total","Jeremy Jeffress","CHC",11,34,2.89285714,4,1,0,4,3,1,5,1,0,7,0.14285714,0.26470588,0.28571429,0.23568234299168442,9490
"Total","Brian Moran","2 Tms",3,4,0,1,0,0,0,0,0,1,0,0,1,0.33333333,0.5,0.33333333,0.39533427357673645,9646
"Total","David Hale","PHI",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8825258016586304,9756
"Total","Joe Kelly","LAD",2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9761
"Total","Sergio Romo","MIN",9,23,4.15384616,8,3,0,2,2,0,2,0,0,4,0.38095238,0.43478261,0.52380952,0.4141112255013507,9817
"Total","Chaz Roe","TBR",7,13,0,2,0,0,1,0,0,1,0,0,3,0.18181818,0.23076923,0.18181818,0.18952791507427508,9866
"Total","Brandon Kintzler","MIA",14,37,4.65517241,6,2,0,6,5,2,6,3,0,5,0.2,0.32432432,0.46666667,0.3028213697321275,9939
"Total","Tyler Matzek","ATL",8,17,10.80000001,7,0,0,4,4,0,0,0,0,8,0.41176471,0.41176471,0.41176471,0.3633929771535537,10058
"Total","Brooks Raley","HOU",6,15,0,1,0,0,1,0,0,0,0,1,6,0.07692308,0.14285714,0.07692308,0.11506917646953038,10061
"Total","Caleb Thielbar","MIN",6,13,2.07692308,0,0,0,2,1,0,0,0,0,6,0,0,0,0,10078
"Total","Brad Boxberger","MIA",9,15,7.36363636,2,0,0,3,3,1,4,0,0,2,0.18181818,0.4,0.45454545,0.3771259546279907,10133
"Total","Ryan Weber","BOS",6,17,0,4,1,0,2,0,0,0,0,1,6,0.25,0.29411765,0.3125,0.2714189571492812,10160
"Total","Aroldis Chapman","NYY",8,15,6.75,2,0,0,3,3,2,2,0,0,7,0.15384615,0.26666667,0.61538462,0.3570572853088379,10233
"Total","Ryan Tepera","CHC",7,11,3.375,5,1,0,1,1,0,0,0,0,2,0.45454545,0.45454545,0.54545455,0.43347321857105603,10291
"Total","Aaron Loup","TBR",8,9,10.12499999,3,1,0,5,3,2,0,0,0,3,0.33333333,0.33333333,1.11111111,0.5773709879981147,10343
"Total","Mychal Givens","2 Tms",8,14,8.30769231,3,0,0,4,4,3,0,0,0,3,0.21428571,0.21428571,0.85714286,0.4240967886788504,10430
"Total","Scott Alexander","LAD",4,16,2.25,3,0,0,3,1,0,1,1,0,3,0.21428571,0.26666667,0.21428571,0.18911267178399221,10591
"Total","Tyler Thornburg","CIN",1,1,9,0,0,0,1,1,0,1,0,0,0,0,1,0,0.6988112926483154,10688
"Total","Trevor Rosenthal","2 Tms",10,30,3.375,2,0,1,4,3,0,4,0,1,13,0.08333333,0.23333333,0.16666667,0.19881115357081094,10745
"Total","Shane Greene","ATL",7,17,2.07692308,2,0,0,2,1,0,2,1,0,4,0.15384615,0.25,0.15384615,0.16425752639770508,10756
"Total","Adam Kolarek","LAD",5,10,0,2,0,0,0,0,0,1,0,0,1,0.22222222,0.3,0.22222222,0.24638628959655762,10843
"Total","Chasen Shreve","NYM",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10855
"Total","Josh A. Smith","MIA",5,9,6.74999999,1,0,0,2,2,0,1,0,0,1,0.16666667,0.25,0.16666667,0.19766713678836823,10946
"Total","Grant Dayton","ATL",2,5,0,1,0,0,1,0,0,1,1,0,1,0.25,0.4,0.25,0.2206314504146576,11203
"Total","Casey Sadler","2 Tms",6,9,16.19999997,1,1,0,4,3,0,2,0,0,2,0.16666667,0.375,0.33333333,0.3294655978679657,11209
"Total","Tommy Kahnle","NYY",1,5,0,1,1,0,0,0,0,1,1,0,3,0.25,0.4,0.5,0.3095255494117737,11384
"Total","Drew Pomeranz","SDP",11,27,3.52173913,4,0,0,3,3,1,1,0,0,8,0.16,0.18518519,0.28,0.19724100165896946,11426
"Total","Brandon Workman","2 Tms",13,44,6.47999999,14,4,0,7,6,2,6,2,0,10,0.36842105,0.45454545,0.63157895,0.44681183497111004,11428
"Total","Matt Grace","ARI",1,1,9,1,1,0,1,1,0,0,0,0,0,1,1,2,1.2381021976470947,11449
"Total","A.J. Cole","TOR",9,25,1.35,4,0,1,1,1,0,3,2,0,4,0.19047619,0.29166667,0.28571429,0.22293225743553854,11467
"Total","Robbie Ray","TOR",1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,2,1.2381021976470947,11486
"Total","Joely Rodriguez","TEX",3,4,9,1,0,0,1,1,0,0,0,0,2,0.25,0.25,0.25,0.2206314504146576,11487
"Total","Josh Osich","2 Tms",4,8,0,1,0,0,1,0,0,0,0,0,2,0.125,0.125,0.125,0.1103157252073288,11528
"Total","Dovydas Neverauskas","PIT",3,8,21.59999996,3,1,0,5,4,1,0,0,0,4,0.375,0.375,0.875,0.5124682933092117,11604
"Total","Mike Kickham","BOS",1,2,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,11618
"Total","Heath Hembree","2 Tms",7,16,9.81818181,2,2,0,4,4,0,3,0,0,4,0.15384615,0.3125,0.30769231,0.285789892077446,11632
"Total","Luke Jackson","ATL",4,12,6,3,0,0,3,2,0,0,0,0,0,0.27272727,0.25,0.27272727,0.2206314504146576,11752
"Total","Kyle Ryan","CHC",4,4,5.39999999,0,0,0,1,1,0,0,0,0,1,0,0,0,0,11753
"Total","Drew Smyly","SFG",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11760
"Total","Hansel Robles","LAA",3,10,32.39999994,3,0,0,7,6,2,1,0,1,2,0.375,0.5,1.125,0.6268016457557678,11801
"Total","Hector Neris","PHI",13,42,10.56521739,13,1,0,13,9,0,6,2,0,10,0.36111111,0.45238095,0.38888889,0.365591424703598,11804
"Total","Chris Martin","ATL",5,15,0,2,0,0,1,0,0,2,1,0,4,0.15384615,0.26666667,0.15384615,0.175990206854684,11847
"Total","Jason Adam","CHC",1,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.17470282316207886,11861
"Total","Michael Feliz","PIT",1,2,108.00000108,0,0,0,4,4,0,0,0,1,0,0,0.5,0,0.36422133445739746,11903
"Total","Matt Andriese","LAA",7,17,7.71428571,3,1,1,4,4,1,0,0,0,8,0.17647059,0.17647059,0.52941176,0.2809024418101591,12022
"Total","Yimi Garcia","MIA",5,7,0,1,0,0,0,0,0,0,0,0,2,0.14285714,0.14285714,0.14285714,0.12607511452266149,12095
"Total","Dan Winkler","CHC",4,11,2.45454545,1,0,0,1,1,1,1,0,0,2,0.11111111,0.2,0.44444444,0.26779296398162844,12237
"Total","Ryan Sherriff","TBR",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12249
"Total","Evan Marshall","CHW",11,26,4.05,6,2,0,3,3,0,0,0,0,8,0.23076923,0.23076923,0.30769231,0.23101183084341195,12297
"Total","Colin Rea","CHC",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12317
"Total","Jacob Barnes","LAA",4,7,27.00000007,1,0,0,6,4,0,2,0,0,1,0.25,0.42857143,0.25,0.32573548385075163,12323
"Total","Nick Tropeano","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12385
"Total","Seth Lugo","NYM",4,10,9,4,1,0,2,2,0,1,0,0,2,0.44444444,0.5,0.55555556,0.45844908952713015,12447
"Total","Blake Treinen","LAD",14,32,4.5,6,1,0,7,4,1,3,1,0,7,0.20689655,0.28125,0.34482759,0.26274020441116824,12572
"Total","Adam Morgan","PHI",5,9,33.75000008,2,2,0,5,5,0,3,0,0,2,0.33333333,0.55555556,0.66666667,0.5080709192487929,12580
"Total","Ryne Harper","WSN",3,4,9,0,0,0,1,1,0,1,0,0,1,0,0.25,0,0.17470282316207886,12680
"Total","Rafael Montero","TEX",5,20,6.23076924,5,1,0,6,3,1,3,0,0,6,0.3125,0.42105263,0.5625,0.41901220145978424,12760
"Total","Chris Devenski","HOU",1,6,40.4999998,3,0,0,3,3,0,1,0,0,1,0.6,0.66666667,0.6,0.5577314496040344,12763
"Total","Jairo Diaz","COL",11,31,4.69565217,4,1,0,6,4,0,3,1,2,8,0.17391304,0.31034483,0.2173913,0.24072098306247167,12774
"Total","Sam Gaviglio","TOR",2,4,54.00000054,2,0,1,2,2,0,1,0,0,0,0.66666667,0.75,1.33333333,0.7848645150661469,12778
"Total","Sean Gilmartin","TBR",1,4,13.49999993,1,0,0,1,1,0,1,0,0,1,0.33333333,0.5,0.33333333,0.39533427357673645,12781
"Total","Burch Smith","OAK",2,6,27,2,0,0,3,3,1,1,0,0,0,0.4,0.5,1,0.5934092402458191,12784
"Total","Noe Ramirez","LAA",7,14,2.7,3,2,0,1,1,0,2,1,0,1,0.27272727,0.35714286,0.45454545,0.31211857612316424,12800
"Total","Matt Wisler","MIN",3,7,0,0,0,0,0,0,0,1,0,1,2,0,0.28571429,0,0.20389342308044434,12804
"Total","Andrew Kittredge","TBR",3,6,18,3,1,0,2,2,0,0,0,0,1,0.5,0.5,0.66666667,0.5005256334940592,12828
"Total","Shawn Armstrong","BAL",3,5,0,1,0,0,2,0,0,1,0,0,1,0.25,0.4,0.25,0.31626741886138915,12857
"Total","Matt Barnes","BOS",15,41,3.375,6,0,0,5,4,0,5,1,1,14,0.17647059,0.3,0.17647059,0.22612417049897024,12863
"Total","Tyler Anderson","SFG",1,2,27.00000027,1,0,0,1,1,1,0,0,0,0,1,0.5,4,0.9895591735839844,12880
"Total","Alex Claudio","MIL",3,5,0,2,0,0,1,0,0,1,0,0,0,0.5,0.6,0.5,0.49277257919311523,12890
"Total","Ken Giles","TOR",1,2,18,0,0,0,2,2,0,2,0,0,0,0,1,0,0.6988112926483154,12910
"Total","Archie Bradley","2 Tms",9,24,1.42105263,4,0,0,1,1,0,2,0,1,6,0.19047619,0.29166667,0.19047619,0.23567368586858115,12918
"Total","Andrew Chafin","2 Tms",8,12,19.28571431,2,0,0,5,5,1,2,0,0,3,0.2,0.33333333,0.5,0.35493889451026917,12988
"Total","Colten Brewer","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12997
"Total","Kyle Crick","PIT",2,3,0,2,1,0,1,0,0,0,0,0,0,0.66666667,0.66666667,1,0.7068759997685751,13182
"Total","Ross Stripling","TOR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13273
"Total","Jesse Hahn","KCR",5,9,0,0,0,0,0,0,0,2,0,0,4,0,0.22222222,0,0.15529139836629233,13287
"Total","Luis Cessa","NYY",3,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17470282316207886,13345
"Total","Hoby Milner","LAA",4,4,27,2,0,0,3,3,1,0,0,0,0,0.5,0.5,1.25,0.7154110372066498,13346
"Total","Cam Bedrosian","LAA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13360
"Total","Dylan Floro","LAD",5,9,3.375,1,0,0,1,1,0,1,0,0,0,0.14285714,0.22222222,0.14285714,0.17570412158966064,13394
"Total","Sam Selman","SFG",4,7,5.39999999,1,0,0,1,1,0,1,0,0,2,0.16666667,0.28571429,0.16666667,0.22590529918670654,13397
"Total","Felix Pena","LAA",11,18,9,4,1,0,5,5,0,0,0,0,4,0.22222222,0.22222222,0.27777778,0.21587108903461033,13403
"Total","Pierce Johnson","SDP",5,15,5.40000001,3,1,0,2,2,0,3,0,0,4,0.25,0.4,0.33333333,0.3399725119272868,13435
"Total","Mike Morin","MIA",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13442
"Total","Taylor Rogers","MIN",12,35,8.1,13,2,0,9,6,1,2,0,1,6,0.40625,0.45714286,0.5625,0.44018988609313964,13449
"Total","Lucas Sims","CIN",5,12,0,0,0,0,3,0,0,2,0,0,3,0,0.16666667,0,0.11646854877471924,13470
"Total","Daniel Norris","DET",2,3,0,1,1,0,0,0,0,0,0,0,0,0.33333333,0.33333333,0.66666667,0.41270073254903156,13475
"Total","Andrew Triggs","2 Tms",2,3,81.00000081,0,0,0,3,3,0,2,0,0,0,0,0.66666667,0,0.46587419509887695,13533
"Total","Richard Rodriguez","PIT",9,25,5.4,5,0,0,5,4,1,1,0,0,13,0.2173913,0.24,0.34782609,0.24832131385803222,13549
"Total","Robert Stephenson","CIN",2,1,54.00000054,0,0,0,2,2,0,0,0,0,1,0,0,0,0,13594
"Total","Carl Edwards Jr.","SEA",2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13607
"Total","Jakob Junis","KCR",1,3,0,1,0,0,0,0,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.29417526721954346,13619
"Total","John Gant","STL",7,13,5.40000001,3,0,0,3,2,0,1,0,0,4,0.25,0.30769231,0.25,0.25741451520186204,13684
"Total","Nick Goody","TEX",4,7,16.19999997,2,0,0,3,3,1,1,0,0,1,0.33333333,0.42857143,0.83333333,0.5086364916392735,13685
"Total","Sal Romano","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13690
"Total","Tyler Duffey","MIN",8,19,1.92857143,2,0,0,2,1,0,1,0,1,6,0.11764706,0.21052632,0.11764706,0.16801608236212479,13758
"Total","Chris Stratton","PIT",9,20,9,5,2,0,5,4,0,2,0,0,3,0.3125,0.35,0.4375,0.32607021927833557,13761
"Total","Dominic Leone","CLE",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13763
"Total","Roberto Osuna","HOU",2,6,5.39999999,1,0,0,1,1,0,0,0,0,1,0.16666667,0.16666667,0.16666667,0.14708763360977173,13764
"Total","Alex Wood","LAD",2,5,6.75000002,1,1,0,2,1,0,0,0,0,1,0.2,0.2,0.4,0.24762043952941895,13781
"Total","Matt Strahm","SDP",6,13,6,3,1,0,2,2,2,0,0,2,1,0.27272727,0.38461538,0.90909091,0.5117864792163556,13799
"Total","Austin Adams","SDP",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13801
"Total","Brent Suter","MIL",4,11,6,0,0,0,4,2,0,1,0,1,3,0,0.18181818,0,0.12975036014210095,13942
"Total","Branden Kline","BAL",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6988112926483154,14101
"Total","Chris Mazza","BOS",1,2,27,2,1,0,3,3,0,0,0,0,0,1,1,1.5,1.0603139996528625,14151
"Total","Josh Hader","MIL",14,37,6.23076923,4,1,0,6,6,1,6,0,1,15,0.13333333,0.2972973,0.26666667,0.2676643938631625,14212
"Total","Luke Bard","LAA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14288
"Total","Wandy Peralta","SFG",2,4,26.99999987,2,0,0,2,2,0,0,0,0,1,0.5,0.5,0.5,0.4412629008293152,14295
"Total","Amir Garrett","CIN",5,7,10.79999998,1,0,0,2,2,1,0,0,0,4,0.14285714,0.14285714,0.57142857,0.28273119245256695,14375
"Total","Robinson Leyer","BOS",1,4,13.49999993,1,0,0,1,1,0,1,0,0,2,0.33333333,0.5,0.33333333,0.39533427357673645,14399
"Total","J.B. Wendelken","OAK",6,21,0,4,1,0,2,0,0,2,0,0,3,0.22222222,0.28571429,0.27777778,0.2515858184723627,14506
"Total","Randy Rosario","KCR",1,4,9,1,0,0,1,1,0,2,0,1,0,1,1,1,0.752147763967514,14508
"Total","Dereck Rodriguez","SFG",1,1,27.00000027,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8825258016586304,14509
"Total","Jose Leclerc","TEX",1,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17470282316207886,14524
"Total","Carlos Estevez","COL",14,31,16.5,9,1,0,11,11,4,4,0,0,7,0.33333333,0.41935484,0.81481481,0.499352385920863,14542
"Total","Dakota Bacus","WSN",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14545
"Total","Jose Ruiz","CHW",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,1.9791183471679688,14552
"Total","James Hoyt","MIA",5,4,6.75000002,0,0,0,1,1,0,0,0,0,3,0,0,0,0,14605
"Total","Rowan Wick","CHC",9,17,4.15384616,3,2,0,2,2,0,3,1,0,3,0.21428571,0.35294118,0.35714286,0.29727204889059067,14646
"Total","Keone Kela","PIT",1,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17470282316207886,14696
"Total","Anthony Banda","TBR",1,3,0,0,0,0,0,0,0,1,0,0,0,0,0.33333333,0,0.23293709754943848,14706
"Total","Edwin Diaz","NYM",12,28,0,3,0,0,1,0,0,5,0,0,12,0.13043478,0.28571429,0.13043478,0.21934406672205245,14710
"Total","Ty Buttrey","LAA",15,48,11.32258065,14,4,1,14,13,1,5,3,1,7,0.35897436,0.42553191,0.58974359,0.4017254493453286,14719
"Total","Julio Urias","LAD",1,1,9,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8825258016586304,14765
"Total","Emilio Pagan","SDP",9,21,16.87500001,6,0,1,10,10,3,1,0,0,6,0.31578947,0.33333333,0.89473684,0.47425423349652973,14771
"Total","Buck Farmer","DET",8,14,2.25,1,0,0,1,1,0,1,0,0,2,0.08333333,0.14285714,0.08333333,0.11295264959335327,14814
