Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Tommy Hunter","PHI",12,19,9.52941176,4,3,0,6,6,0,1,0,0,3,0.23529412,0.27777778,0.41176471,0.29420242706934613,1157
"Total","Adam Ottavino","NYY",4,11,32.39999994,4,0,0,6,6,0,2,0,0,2,0.5,0.54545455,0.5,0.44797507199374115,1247
"Total","Oliver Perez","CLE",9,15,3.85714285,3,0,0,2,2,0,0,0,1,2,0.23076923,0.26666667,0.23076923,0.22506800492604573,1514
"Total","Sean Doolittle","WSN",5,11,9,3,1,0,3,2,0,2,2,0,2,0.42857143,0.5,0.57142857,0.37539422512054443,1581
"Total","Hector Rondon","ARI",5,16,4.9090909,2,1,0,3,2,0,3,0,0,3,0.16666667,0.3125,0.25,0.26356636732816696,2391
"Total","Jhoulys Chacin","ATL",1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.6988112926483154,2608
"Total","Ross Detwiler","CHW",4,5,0,2,0,0,1,0,0,0,0,0,1,0.4,0.4,0.4,0.35301032066345217,2859
"Total","Luis Avilan","NYY",3,7,18,3,0,0,2,2,1,2,0,0,1,0.6,0.71428571,1.2,0.73454179082598,2882
"Total","Kenley Jansen","LAD",12,34,7.36363637,8,1,0,7,6,1,5,0,1,12,0.28571429,0.41176471,0.42857143,0.37455513196832996,3096
"Total","Tony Watson","SFG",8,15,1.92857143,0,0,0,2,1,0,0,0,0,2,0,0,0,0,3132
"Total","Will Harris","WSN",10,20,1.8,4,0,0,2,1,0,1,0,0,5,0.21052632,0.25,0.21052632,0.21144572496414185,3192
"Total","T.J. McFarland","OAK",3,6,0,1,0,0,0,0,0,0,0,0,1,0.16666667,0.16666667,0.16666667,0.14708763360977173,3237
"Total","Zack Britton","NYY",8,20,8.30769231,5,1,0,4,4,0,3,0,0,1,0.29411765,0.4,0.35294118,0.3432319641113281,3240
"Total","Darren O'Day","ATL",5,7,5.39999999,2,0,0,1,1,0,0,0,0,1,0.28571429,0.28571429,0.28571429,0.25215022904532297,3321
"Total","Danny Duffy","KCR",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3542
"Total","Liam Hendriks","OAK",17,37,0.81818182,3,0,0,2,1,1,2,1,0,18,0.08823529,0.13888889,0.17647059,0.126942321232387,3548
"Total","Matt Magill","SEA",3,9,16.19999997,2,0,0,3,3,0,3,0,0,0,0.33333333,0.55555556,0.33333333,0.42905394236246747,3950
"Total","Edinson Volquez","TEX",1,4,81.00000081,1,0,0,3,3,0,2,0,0,0,0.5,0.75,0.5,0.5700370967388153,3990
"Total","Yusmeiro Petit","OAK",4,10,0,2,0,0,0,0,0,2,0,0,2,0.28571429,0.4,0.28571429,0.31626741886138915,4020
"Total","Pedro Strop","CIN",2,6,0,1,0,0,2,0,0,2,0,0,2,0.25,0.5,0.25,0.3800247311592102,4070
"Total","Derek Holland","PIT",2,1,27,1,0,0,3,3,1,0,0,0,0,1,1,4,1.9791183471679688,4141
"Total","Rafael Dolis","TOR",15,38,1.86206896,6,1,0,6,2,0,6,0,1,8,0.2,0.35135135,0.23333333,0.2857308548849982,4185
"Total","Mark Melancon","ATL",12,39,4.82142857,9,0,0,6,5,1,4,3,1,5,0.28125,0.36842105,0.375,0.29904510634286063,4264
"Total","Justin Wilson","NYM",10,24,9.52941176,5,0,0,6,6,0,3,1,0,7,0.25,0.34782609,0.25,0.26410234516317194,4301
"Total","Nate Jones","CIN",6,15,6,5,0,0,2,2,1,2,0,1,4,0.45454545,0.53333333,0.72727273,0.509019120534261,4696
"Total","Jake Diekman","OAK",8,18,0,2,0,0,1,0,0,2,1,0,8,0.13333333,0.23529412,0.13333333,0.1539914309978485,5003
"Total","Jeurys Familia","NYM",9,13,9,2,0,0,4,4,0,1,0,0,2,0.16666667,0.23076923,0.16666667,0.18952791507427508,5114
"Total","Blake Parker","PHI",4,13,3,1,0,1,1,1,0,4,1,0,3,0.11111111,0.38461538,0.33333333,0.3045462369918823,5224
"Total","Wilmer Font","TOR",6,10,23.14285718,3,1,0,7,6,1,0,0,1,0,0.33333333,0.4,0.77777778,0.4828189015388489,5257
"Total","Jose Alvarez","PHI",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5358
"Total","Brad Peacock","HOU",1,4,18,1,0,0,2,2,0,0,0,0,1,0.25,0.25,0.25,0.2206314504146576,5401
"Total","Pedro Baez","LAD",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1.2381021976470947,5420
"Total","Jesse Chavez","TEX",5,10,11.57142859,3,1,0,3,3,1,0,0,0,3,0.33333333,0.3,0.77777778,0.4099746346473694,5448
"Total","Nik Turley","PIT",8,24,16.61538463,7,4,0,9,8,1,2,1,1,4,0.33333333,0.41666667,0.66666667,0.4401666392450747,5530
"Total","Ryan Brasier","BOS",10,25,6,6,3,0,4,4,0,2,1,0,9,0.26086957,0.32,0.39130435,0.29419563710689545,5615
"Total","Tyler Clippard","MIN",9,18,9.64285714,4,1,0,5,5,0,1,0,0,7,0.23529412,0.27777778,0.29411765,0.2546939386261834,5640
"Total","Junior Guerra","ARI",9,20,3.85714285,4,0,0,4,2,1,3,0,0,4,0.28571429,0.38888889,0.5,0.37350720167160034,5702
"Total","Dellin Betances","NYM",6,13,23.14285718,2,0,0,6,6,0,3,0,1,3,0.22222222,0.46153846,0.22222222,0.3530713961674617,6216
"Total","Trevor Cahill","SFG",2,4,0,0,0,0,1,0,0,1,0,0,1,0,0.25,0,0.17470282316207886,6249
"Total","David Phelps","2 Tms",11,27,11.57142857,4,0,0,10,9,3,1,0,1,8,0.16,0.22222222,0.52,0.305449437212061,6316
"Total","Trevor May","MIN",9,18,1.58823529,1,0,0,2,1,0,1,0,0,9,0.0625,0.11111111,0.0625,0.08785206079483032,6398
"Total","Jose Cisnero","DET",8,17,12.27272726,5,1,0,5,5,1,1,0,0,4,0.3125,0.35294118,0.5625,0.38609466131995707,6399
"Total","Steve Cishek","CHW",3,3,0,1,0,0,0,0,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0.29417526721954346,6483
"Total","Robert Stock","BOS",2,4,27.00000027,3,0,0,1,1,0,0,0,0,0,0.75,0.75,0.75,0.6618943512439728,6576
"Total","Brad Brach","NYM",1,3,0,0,0,0,0,0,0,1,0,0,1,0,0.33333333,0,0.23293709754943848,6627
"Total","Craig Kimbrel","CHC",5,14,22.5,2,0,0,5,5,0,5,1,1,4,0.25,0.57142857,0.25,0.40682611098656285,6655
"Total","Alex Colome","CHW",12,34,0,3,1,0,1,0,0,3,0,0,6,0.1,0.18181818,0.13333333,0.15453295996694855,6661
"Total","Andrew Miller","STL",4,10,10.79999998,3,0,0,2,2,0,1,0,1,3,0.375,0.5,0.375,0.4074831366539001,6785
"Total","Joakim Soria","OAK",9,27,3.17647059,2,1,0,3,2,0,8,3,0,6,0.11111111,0.37037037,0.16666667,0.23394518593947092,6941
"Total","Luis Garcia","TEX",2,4,0,1,0,0,1,0,0,1,1,0,1,0.33333333,0.5,0.33333333,0.29417526721954346,6984
"Total","Ian Kennedy","KCR",3,3,27.00000027,2,0,0,2,1,1,0,0,0,1,0.66666667,0.66666667,1.66666667,0.9538813829421997,6986
"Total","Ryan Pressly","HOU",18,45,6.0967742,10,2,0,9,7,2,4,1,1,14,0.25,0.33333333,0.45,0.3307834646918557,7005
"Total","Daniel Bard","COL",13,37,3,5,0,0,3,3,2,5,2,1,7,0.16129032,0.2972973,0.35483871,0.2694483041763306,7115
"Total","Daniel Hudson","WSN",12,28,9.81818182,6,0,0,9,8,2,0,0,0,8,0.22222222,0.22222222,0.44444444,0.2773459222581651,7146
"Total","Greg Holland","KCR",7,20,3.85714285,6,1,0,2,2,0,0,0,1,10,0.31578947,0.35,0.36842105,0.3189586937427521,7196
"Total","Craig Stammen","SDP",6,11,7.71428573,3,0,0,3,2,0,2,0,1,1,0.375,0.54545455,0.375,0.4339675144715743,7274
