Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Brad Peacock","HOU",2,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5401
"Total","Pedro Baez","LAD",29,59,4.8,8,2,0,11,8,1,5,0,1,15,0.15384615,0.24137931,0.25,0.22226878075764098,5420
"Total","Jesse Chavez","TEX",13,26,2.7,4,2,0,2,2,1,3,0,0,5,0.18181818,0.28,0.40909091,0.29253421068191526,5448
"Total","Arodys Vizcaino","ATL",2,3,13.49999993,1,0,0,1,1,1,0,0,0,1,0.33333333,0.33333333,1.33333333,0.6465120315551758,5498
"Total","Ryan Brasier","BOS",24,51,9.58064516,15,2,0,12,11,3,4,0,1,14,0.32608696,0.39215686,0.56521739,0.40055692780251595,5615
"Total","Tyler Clippard","CLE",7,11,0,0,0,0,0,0,0,1,0,0,4,0,0.09090909,0,0.06275404583324086,5640
"Total","Junior Guerra","MIL",32,74,5.89090909,18,4,0,13,12,3,5,1,0,20,0.26865672,0.31506849,0.46268657,0.3196128201153543,5702
"Total","Kelvin Herrera","CHW",17,37,12.91304347,13,0,0,11,11,4,3,1,0,3,0.39393939,0.44444444,0.75757576,0.4847199661391122,6033
"Total","Trevor Cahill","LAA",7,23,1.8,5,1,0,1,1,0,3,0,0,5,0.25,0.34782609,0.3,0.2941729037658028,6249
"Total","David Phelps","2 Tms",15,24,7.10526316,4,0,0,5,5,1,4,0,0,7,0.2,0.33333333,0.35,0.3045639966924985,6316
"Total","Trevor May","MIN",22,58,5.4,11,3,0,10,9,1,3,1,0,20,0.21153846,0.24137931,0.32692308,0.22907664169344985,6398
"Total","Jose Cisnero","DET",11,29,10.8,8,2,0,7,6,1,5,3,0,5,0.38095238,0.48148148,0.61904762,0.42089541008075076,6399
"Total","Steve Cishek","CHC",29,76,5.29411765,12,2,0,11,10,1,13,1,3,10,0.20689655,0.36842105,0.29310345,0.3018734900156657,6483
"Total","Blaine Hardy","DET",8,14,1.8,0,0,0,1,1,0,1,0,0,4,0,0.07142857,0,0.04930675029754639,6499
"Total","Robert Stock","SDP",5,7,27,1,0,0,4,3,0,3,0,0,2,0.25,0.57142857,0.25,0.4200701117515564,6576
"Total","Brad Brach","2 Tms",17,39,7.44827586,6,2,0,8,8,0,8,1,0,9,0.19354839,0.35897436,0.25806452,0.2827320789035998,6627
"Total","Carlos Carrasco","CLE",3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6632
"Total","Craig Kimbrel","CHC",14,38,7.56,7,2,0,7,7,4,6,0,0,11,0.22580645,0.34210526,0.67741935,0.400074922724774,6655
"Total","Alex Colome","CHW",32,80,3.31578947,12,0,0,12,7,3,11,2,0,13,0.17910448,0.29113924,0.31343284,0.2578925227189993,6661
"Total","Andrew Miller","STL",33,70,7.16326531,18,1,0,15,13,3,4,0,2,19,0.28125,0.34285714,0.4375,0.3344197733061654,6785
"Total","Martin Perez","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6902
"Total","Joakim Soria","OAK",27,62,9.97826087,12,3,1,17,17,0,4,1,1,15,0.22222222,0.27868852,0.31481481,0.2487660934527715,6941
