"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Reiss Knehr","SDP","9.45","0.00","7.00","0.00","29.2%","0.0%","29.2%",".130","0.45",".188","100.0%","0","40","66","0.00","1.47","-1.47","2.58","2.06","21541"
"Devin Williams","MIL","15.26","4.99","3.06","0.00","41.9%","13.7%","28.2%",".151","1.08",".296","79.4%","49","39","56","2.05","1.49","0.57","2.17","2.45","15816"
"Scott Effross","CHC","11.53","2.10","5.50","0.26","31.4%","5.7%","25.7%",".220","1.08",".322","61.8%","62","43","62","2.62","1.63","0.99","2.42","2.37","18384"
"Edwin Diaz","NYM","17.54","3.34","5.25","0.84","48.5%","9.2%","39.2%",".214","1.14",".431","91.7%","50","44","32","1.95","1.63","0.32","1.16","1.39","14710"
"A.J. Minter","ATL","11.91","1.59","7.50","0.26","34.6%","4.6%","30.0%",".190","0.85",".293","75.2%","37","44","71","1.59","1.65","-0.06","2.80","2.06","18655"
"Peter Strzelecki","MIL","11.00","3.00","3.67","0.00","28.9%","7.9%","21.1%",".257","1.33",".375","66.7%","95","44","79","4.00","1.67","2.33","3.16","3.04","21367"
"J.P. Feyereisen","TBR","9.25","1.85","5.00","0.00","29.1%","5.8%","23.3%",".086","0.49",".125","91.7%","0","41","89","0.00","1.68","-1.68","3.58","2.93","16610"
"Kevin Gausman","TOR","10.23","1.64","6.25","0.20","27.0%","4.3%","22.6%",".270","1.27",".372","70.5%","72","40","69","2.86","1.68","1.18","2.81","3.07","14107"
"Jimmy Yacabonis","MIA","19.89","2.84","7.00","1.42","56.0%","8.0%","48.0%",".174","0.95",".375","87.0%","71","46","12","2.84","1.69","1.15","0.35","0.79","15157"
"Colin Holderman","NYM","11.12","3.18","3.50","0.00","30.4%","8.7%","21.7%",".238","1.24",".357","64.3%","81","46","70","3.18","1.70","1.47","2.76","2.78","22361"
"Clay Holmes","NYY","9.24","1.22","7.60","0.00","27.3%","3.6%","23.7%",".168","0.73",".237","90.0%","13","40","48","0.49","1.71","-1.22","1.99","1.09","13649"
"Josh Hader","MIL","15.08","2.81","5.38","0.70","44.3%","8.2%","36.1%",".124","0.74",".205","98.8%","25","45","54","1.05","1.71","-0.66","2.10","1.57","14212"
"Chris Paddack","MIN","8.06","0.81","10.00","0.00","21.5%","2.2%","19.4%",".278","1.21",".357","64.3%","105","41","79","4.03","1.73","2.30","3.20","3.41","20099"
"Tyler Kinley","COL","10.13","2.25","4.50","0.00","27.0%","6.0%","21.0%",".226","1.13",".318","82.1%","16","43","80","0.75","1.74","-0.99","3.17","2.91","18297"
"Tyler Holton","ARI","6.00","0.00","2.00","0.00","18.2%","0.0%","18.2%",".182","0.67",".222","100.0%","0","47","118","0.00","1.78","-1.78","4.77","4.13","26231"
"Reynaldo Lopez","CHW","9.35","2.08","4.50","0.00","25.7%","5.7%","20.0%",".244","1.15",".337","61.0%","89","42","80","3.38","1.82","1.56","3.24","3.04","16400"
"Emmanuel Clase","CLE","9.70","1.57","6.17","0.26","28.0%","4.5%","23.5%",".175","0.82",".239","75.2%","34","45","53","1.31","1.86","-0.55","2.18","2.13","21032"
"Kervin Castro","SFG","21.60","10.80","2.00","0.00","36.4%","18.2%","18.2%",".444","3.60",".800","16.7%","668","52","71","27.00","1.92","25.08","2.81","3.53","21656"
"Gregory Santos","SFG","5.40","0.00","1.00","0.00","20.0%","0.0%","20.0%",".000","0.00",".000","100.0%","0","52","71","0.00","1.92","-1.92","2.81","1.88","21894"
"Joe Mantiply","ARI","8.70","0.30","29.00","0.30","25.4%","0.9%","24.6%",".225","0.87",".296","90.2%","28","50","63","1.20","1.92","-0.72","2.48","2.15","14857"
"Jovani Moran","MIN","13.50","5.52","2.44","0.00","37.3%","15.3%","22.0%",".120","1.02",".214","86.7%","32","47","73","1.23","1.96","-0.73","2.97","3.07","20422"
"Bryan Abreu","HOU","12.87","3.14","4.10","0.31","34.7%","8.5%","26.3%",".226","1.19",".359","78.0%","59","47","61","2.20","1.96","0.23","2.50","2.37","16609"
"Craig Kimbrel","LAD","14.01","4.10","3.42","0.34","34.2%","10.0%","24.2%",".262","1.52",".415","60.6%","118","51","76","4.78","1.98","2.81","3.01","2.66","6655"
"Hunter Harvey","WSN","10.13","3.38","3.00","0.00","33.3%","11.1%","22.2%",".125","0.75",".200","100.0%","0","51","78","0.00","1.99","-1.99","3.11","2.81","15507"
"John Brebbia","SFG","8.91","2.62","3.40","0.00","23.8%","7.0%","16.8%",".233","1.19",".313","70.7%","65","55","97","2.62","2.01","0.61","3.88","3.47","12777"
"Spencer Strider","ATL","13.58","3.47","3.91","0.45","37.7%","9.6%","28.0%",".173","1.01",".281","70.9%","67","52","64","2.87","2.01","0.86","2.51","2.50","27498"
"Parker Mushinski","HOU","11.37","4.26","2.67","0.00","29.6%","11.1%","18.5%",".208","1.26",".313","62.5%","114","48","73","4.26","2.01","2.25","2.95","3.11","21324"
"Andrew Chafin","DET","11.69","2.42","4.83","0.40","32.2%","6.7%","25.6%",".205","1.03",".302","70.8%","73","49","63","2.82","2.04","0.78","2.59","2.33","12988"
"Daniel Hudson","LAD","11.10","1.85","6.00","0.37","30.9%","5.2%","25.8%",".189","0.90",".271","75.2%","55","53","62","2.22","2.05","0.17","2.43","2.23","7146"
"Cody Stashak","MIN","8.27","0.00","15.00","0.55","23.1%","0.0%","23.1%",".246","0.98",".306","61.6%","100","50","91","3.86","2.07","1.78","3.65","3.24","18088"
"Erik Swanson","SEA","12.66","1.69","7.50","0.84","36.6%","4.9%","31.7%",".179","0.84",".261","100.0%","23","51","58","0.84","2.08","-1.24","2.40","1.92","16587"
"Brooks Raley","TBR","11.84","2.96","4.00","0.00","31.7%","7.9%","23.8%",".159","0.90",".250","70.4%","61","53","79","2.22","2.09","0.13","3.19","2.64","10061"
"Freddy Peralta","MIL","11.64","3.03","3.85","0.23","30.3%","7.9%","22.4%",".221","1.19",".327","63.0%","104","54","74","4.42","2.11","2.32","2.93","3.07","18679"
"Shane Greene","LAD","4.50","0.00","1.00","0.00","12.5%","0.0%","12.5%",".250","1.00",".286","100.0%","0","54","108","0.00","2.12","-2.12","4.35","4.84","10756"
"Mark Appel","PHI","4.50","0.00","1.00","0.00","14.3%","0.0%","14.3%",".143","0.50",".167","100.0%","0","53","72","0.00","2.12","-2.12","2.86","3.03","14823"
"John Means","BAL","7.88","2.25","3.50","0.00","20.6%","5.9%","14.7%",".250","1.25",".320","70.0%","86","48","95","3.38","2.12","1.26","3.79","3.99","16269"
"Luis Gil","NYY","11.25","4.50","2.50","0.00","26.3%","10.5%","15.8%",".294","1.75",".417","42.9%","236","50","80","9.00","2.12","6.88","3.23","3.80","21052"
"Cody Sedlock","BAL","9.00","3.00","3.00","0.00","18.8%","6.3%","12.5%",".400","2.33",".500","28.6%","384","48","90","15.00","2.12","12.88","3.61","3.71","19357"
"Andrew Heaney","LAD","13.50","2.35","5.75","0.59","36.5%","6.3%","30.2%",".158","0.85",".242","88.2%","14","55","67","0.59","2.14","-1.55","2.65","2.39","15423"
"John Schreiber","BOS","10.87","2.10","5.17","0.35","32.3%","6.3%","26.0%",".136","0.70",".196","91.4%","17","52","64","0.70","2.14","-1.44","2.62","2.24","20020"
"Robert Dugger","- - -","12.96","1.08","12.00","1.08","31.6%","2.6%","28.9%",".351","1.68",".500","63.5%","163","49","41","6.48","2.16","4.32","1.67","2.06","19191"
"Kenley Jansen","ATL","12.95","2.20","5.88","0.83","36.4%","6.2%","30.2%",".190","0.95",".282","63.4%","84","56","66","3.58","2.17","1.41","2.62","2.08","3096"
"Seranthony Dominguez","PHI","11.70","2.10","5.57","0.60","34.5%","6.2%","28.3%",".171","0.83",".250","86.2%","43","55","61","1.80","2.18","-0.38","2.41","2.11","19249"
"Duane Underwood Jr.","PIT","9.82","3.93","2.50","0.00","25.3%","10.1%","15.2%",".225","1.31",".314","62.5%","95","58","77","3.93","2.24","1.68","3.06","3.29","14677"
"Jason Adam","TBR","10.05","2.30","4.38","0.29","30.7%","7.0%","23.7%",".135","0.70",".191","79.6%","40","57","83","1.44","2.25","-0.82","3.36","2.68","11861"
"Jake Hager","ARI","3.86","0.00","1.00","0.00","10.0%","0.0%","10.0%",".300","1.29",".333","33.3%","181","59","104","7.71","2.26","5.46","4.18","4.45","12198"
"Michael King","NYY","12.16","2.89","4.21","0.62","34.5%","8.2%","26.3%",".191","1.01",".284","80.4%","60","54","57","2.27","2.27","0.00","2.37","2.35","19853"
"Manny Banuelos","NYY","8.64","3.24","2.67","0.00","22.9%","8.6%","14.3%",".219","1.20",".292","80.0%","57","54","83","2.16","2.28","-0.12","3.35","3.18","5365"
"Carlos Rodon","SFG","10.99","2.93","3.75","0.42","30.3%","8.1%","22.3%",".208","1.09",".298","77.2%","65","62","79","2.62","2.29","0.33","3.16","3.19","16137"
"Junior Fernandez","STL","6.30","1.80","3.50","0.00","20.6%","5.9%","14.7%",".094","0.50",".120","100.0%","0","61","84","0.00","2.32","-2.32","3.36","3.05","18496"
"Jackson Kowar","KCR","10.57","4.70","2.25","0.00","23.7%","10.5%","13.2%",".382","2.22",".520","58.8%","210","58","82","8.22","2.33","5.88","3.31","3.34","21549"
"Brock Burke","TEX","10.01","2.33","4.30","0.47","28.9%","6.7%","22.1%",".201","0.98",".277","88.1%","31","57","79","1.16","2.34","-1.18","3.21","2.83","17968"
"Anthony Bass","MIA","8.02","1.87","4.29","0.27","22.6%","5.3%","17.3%",".214","1.01",".274","79.8%","40","62","94","1.60","2.34","-0.74","3.77","3.41","7982"
"Ryan Castellani","OAK","3.38","0.00","1.00","0.00","9.1%","0.0%","9.1%",".182","0.75",".200","50.0%","0","59","87","0.00","2.37","-2.37","3.48","3.26","16377"
"Garrett Cleavinger","LAD","13.50","6.75","2.00","0.00","30.8%","15.4%","15.4%",".273","1.88",".429","80.0%","83","60","100","3.38","2.37","1.01","4.04","3.77","17897"
"Dennis Santana","TEX","6.46","1.76","3.67","0.00","18.8%","5.1%","13.7%",".155","0.75",".193","66.7%","39","58","96","1.47","2.37","-0.90","3.83","3.61","17878"
"Ken Giles","SEA","13.50","6.75","2.00","0.00","37.5%","18.8%","18.8%",".077","1.00",".143","100.0%","0","59","77","0.00","2.37","-2.37","3.11","3.62","12910"
"Taylor Rogers","SDP","10.47","1.93","5.43","0.28","29.5%","5.4%","24.0%",".181","0.86",".260","64.4%","75","62","79","3.03","2.38","0.65","3.12","2.50","13449"
"Penn Murfee","SEA","10.80","2.27","4.75","0.57","31.9%","6.7%","25.2%",".155","0.79",".214","81.9%","54","59","82","1.99","2.39","-0.40","3.31","2.64","25174"
"Luis Garcia","SDP","9.71","2.43","4.00","0.30","25.2%","6.3%","18.9%",".265","1.31",".357","63.1%","91","62","74","3.64","2.41","1.23","2.93","2.77","6984"
"Shane McClanahan","TBR","12.17","1.56","7.82","1.01","35.9%","4.6%","31.4%",".179","0.81",".250","86.9%","48","61","47","1.74","2.41","-0.68","1.98","2.17","21483"
"Corbin Martin","ARI","8.79","3.77","2.33","0.00","22.2%","9.5%","12.7%",".263","1.47",".349","57.1%","103","63","101","4.40","2.42","1.98","4.08","3.90","19884"
"Phoenix Sanders","TBR","6.23","2.08","3.00","0.00","18.8%","6.3%","12.5%",".178","0.85",".222","81.8%","38","62","104","1.38","2.42","-1.04","4.14","3.94","20541"
"Jesse Chavez","- - -","10.86","2.51","4.33","0.56","28.7%","6.6%","22.1%",".278","1.36",".388","80.6%","65","62","75","2.78","2.44","0.35","2.97","2.82","5448"
"Kyle Barraclough","LAA","9.00","4.00","2.25","0.00","24.3%","10.8%","13.5%",".212","1.22",".292","72.7%","78","58","107","3.00","2.45","0.55","4.27","3.97","13713"
"Kyle Nelson","ARI","7.11","2.49","2.86","0.00","20.2%","7.1%","13.1%",".220","1.07",".282","78.6%","42","64","96","1.78","2.48","-0.71","3.84","3.77","20515"
"Rafael Montero","HOU","9.38","3.13","3.00","0.28","26.6%","8.9%","17.7%",".186","1.01",".253","78.4%","46","61","78","1.71","2.48","-0.78","3.16","3.07","12760"
"Zack Wheeler","PHI","10.13","2.05","4.95","0.51","27.9%","5.6%","22.3%",".225","1.07",".307","75.3%","63","62","77","2.66","2.49","0.17","3.04","3.09","10310"
"Matt Moore","TEX","10.35","5.05","2.05","0.00","28.1%","13.7%","14.4%",".190","1.23",".282","79.5%","53","61","90","2.02","2.50","-0.48","3.63","3.67","1890"
"Joe Jimenez","DET","11.83","2.12","5.57","0.91","33.3%","6.0%","27.4%",".191","0.94",".265","71.4%","87","61","71","3.34","2.51","0.83","2.90","2.36","15761"
"Collin McHugh","ATL","10.91","1.64","6.67","0.82","29.6%","4.4%","25.2%",".250","1.15",".341","71.8%","89","65","76","3.82","2.51","1.31","3.00","2.56","7531"
"Joey Wentz","DET","6.75","2.70","2.50","0.00","17.2%","6.9%","10.3%",".296","1.50",".364","40.0%","211","61","96","8.10","2.52","5.58","3.86","4.27","19962"
"David Bednar","PIT","12.16","2.92","4.17","0.73","34.0%","8.2%","25.9%",".187","1.00",".272","79.9%","59","64","75","2.43","2.52","-0.09","2.96","2.49","19569"
"Shohei Ohtani","LAA","12.28","2.07","5.94","0.97","34.1%","5.7%","28.4%",".209","1.01",".296","83.3%","69","60","62","2.68","2.52","0.15","2.53","2.55","19755"
"Max Fried","ATL","8.53","1.42","6.00","0.53","23.9%","4.0%","19.9%",".229","1.03",".291","76.8%","62","65","72","2.66","2.52","0.14","2.86","3.12","13743"
"Cristian Javier","HOU","12.27","3.10","3.96","0.65","34.3%","8.7%","25.6%",".173","0.96",".257","80.0%","69","63","88","2.58","2.57","0.01","3.54","3.00","17606"
"Evan Phillips","LAD","10.34","2.30","4.50","0.57","30.0%","6.7%","23.3%",".173","0.86",".236","76.3%","42","66","76","1.72","2.61","-0.88","3.01","2.65","17734"
"William Woods","ATL","9.00","4.50","2.00","0.00","25.0%","12.5%","12.5%",".286","1.50",".400","100.0%","0","67","102","0.00","2.62","-2.62","4.11","4.09","25075"
"Jason Foley","DET","5.93","2.30","2.57","0.00","15.4%","6.0%","9.4%",".303","1.46",".363","78.0%","77","65","98","2.96","2.68","0.29","3.93","3.80","19531"
"Alex Vesia","LAD","11.57","4.91","2.36","0.35","28.2%","12.0%","16.2%",".243","1.52",".348","77.1%","78","68","93","3.16","2.69","0.47","3.75","3.53","25007"
"Brandon Bielak","HOU","7.71","2.57","3.00","0.00","20.7%","6.9%","13.8%",".192","1.00",".250","87.5%","34","66","105","1.29","2.69","-1.40","4.18","3.45","19866"
"David Phelps","TOR","8.24","3.98","2.07","0.00","22.1%","10.7%","11.5%",".224","1.26",".299","68.3%","79","67","103","3.13","2.71","0.42","4.12","4.03","6316"
"Alex Colome","COL","5.52","2.45","2.25","0.00","14.5%","6.5%","8.1%",".259","1.30",".306","65.8%","52","65","104","2.45","2.71","-0.25","4.18","4.05","6661"
"JP Sears","NYY","5.28","2.35","2.25","0.00","15.5%","6.9%","8.6%",".204","0.98",".244","93.3%","15","66","107","0.59","2.72","-2.14","4.28","4.47","23429"
"Denyi Reyes","BAL","3.52","1.17","3.00","0.00","9.7%","3.2%","6.5%",".267","1.17",".296","77.8%","60","63","118","2.35","2.72","-0.38","4.67","4.82","20526"
"Victor Arano","WSN","9.64","1.54","6.25","0.77","26.3%","4.2%","22.1%",".267","1.20",".349","61.1%","118","68","65","5.01","2.73","2.28","2.57","2.42","15915"
"Dylan Cease","CHW","13.08","4.19","3.13","0.73","34.3%","11.0%","23.4%",".208","1.24",".316","75.6%","66","65","73","2.51","2.73","-0.22","2.96","3.13","18525"
"Jake Walsh","STL","16.88","6.75","2.50","0.00","33.3%","13.3%","20.0%",".250","1.88",".429","33.3%","337","72","109","13.50","2.74","10.76","4.42","3.18","20227"
"Adrian Sampson","CHC","7.88","1.69","4.67","0.56","21.5%","4.6%","16.9%",".242","1.13",".298","54.2%","80","69","86","3.38","2.74","0.63","3.42","3.51","13339"
"Nabil Crismatt","SDP","7.47","2.65","2.82","0.24","21.2%","7.5%","13.7%",".194","0.99",".245","82.0%","48","71","87","1.93","2.77","-0.84","3.50","3.43","17732"
"Bailey Ober","MIN","7.75","1.87","4.14","0.53","20.4%","4.9%","15.5%",".267","1.28",".327","64.7%","104","68","108","4.01","2.79","1.22","4.32","4.29","21224"
"Liam Hendriks","CHW","12.97","2.81","4.63","1.05","34.6%","7.5%","27.1%",".214","1.13",".310","77.5%","74","67","70","2.81","2.80","0.00","2.85","2.35","3548"
"Hector Neris","HOU","9.72","2.16","4.50","0.54","27.9%","6.2%","21.7%",".162","0.81",".215","63.8%","94","70","97","3.51","2.82","0.69","3.87","3.02","11804"
"Hoby Milner","MIL","7.55","2.61","2.89","0.29","20.3%","7.0%","13.3%",".229","1.16",".286","75.8%","55","71","90","2.32","2.83","-0.50","3.61","3.49","13346"
"Jhoan Duran","MIN","11.83","1.54","7.67","1.03","34.3%","4.5%","29.9%",".185","0.83",".257","91.2%","54","69","55","2.06","2.83","-0.77","2.28","1.85","21029"
"Shane Bieber","CLE","9.20","2.18","4.23","0.69","25.3%","6.0%","19.3%",".243","1.16",".314","74.1%","82","70","80","3.16","2.83","0.33","3.22","3.43","19427"
"Alex Lange","DET","11.05","4.60","2.40","0.31","29.0%","12.1%","16.9%",".187","1.19",".271","81.5%","56","70","85","2.15","2.84","-0.70","3.42","3.30","19883"
"Austin Brice","PIT","4.91","2.45","2.00","0.00","13.3%","6.7%","6.7%",".214","1.09",".250","50.0%","119","72","101","4.91","2.84","2.07","4.06","3.96","17237"
"Chad Green","NYY","9.60","3.00","3.20","0.60","25.8%","8.1%","17.7%",".228","1.20",".300","72.3%","79","69","105","3.00","2.85","0.15","4.17","3.60","15552"
"Giovanny Gallegos","STL","11.10","2.70","4.11","0.90","31.1%","7.6%","23.5%",".209","1.07",".286","71.9%","75","74","90","3.00","2.85","0.15","3.59","2.91","14986"
"Dillon Tate","BAL","7.28","1.64","4.43","0.23","19.5%","4.4%","15.1%",".226","1.04",".281","76.2%","54","66","90","2.11","2.85","-0.74","3.61","3.17","17796"
"Martin Perez","TEX","7.29","2.25","3.24","0.36","19.8%","6.1%","13.7%",".241","1.17",".297","77.8%","62","70","92","2.34","2.86","-0.52","3.69","3.87","6902"
"Zach Jackson","OAK","12.48","7.26","1.72","0.00","32.8%","19.1%","13.7%",".171","1.39",".290","70.5%","94","72","105","3.48","2.86","0.63","4.21","4.12","19493"
"Clayton Kershaw","LAD","9.48","1.93","4.92","0.80","26.6%","5.4%","21.2%",".225","1.05",".290","83.0%","63","72","78","2.57","2.87","-0.29","3.12","3.20","2036"
"Kyle Tyler","SDP","4.50","2.25","2.00","0.00","14.3%","7.1%","7.1%",".154","0.75",".182","100.0%","0","73","90","0.00","2.87","-2.87","3.61","3.52","22092"
"Jose Quijada","LAA","10.66","5.68","1.88","0.00","26.8%","14.3%","12.5%",".191","1.34",".281","77.8%","55","69","117","2.13","2.88","-0.75","4.65","4.04","19200"
"Tim Hill","SDP","4.15","1.66","2.50","0.00","11.2%","4.5%","6.7%",".262","1.20",".297","55.6%","124","74","107","4.98","2.88","2.10","4.33","3.98","16814"
"Ryne Stanek","HOU","10.04","4.50","2.23","0.35","28.2%","12.6%","15.5%",".156","1.04",".217","97.7%","19","71","98","0.69","2.88","-2.19","3.93","3.64","15947"
"Tanner Houck","BOS","9.30","3.10","3.00","0.36","25.0%","8.3%","16.7%",".236","1.22",".318","74.0%","86","73","86","3.47","2.91","0.55","3.47","3.40","19879"
"Chris Martin","CHC","9.95","1.42","7.00","1.07","27.2%","3.9%","23.3%",".273","1.22",".353","74.6%","84","74","61","3.55","2.92","0.63","2.38","2.27","11847"
"Marcos Diplan","BAL","12.71","7.94","1.60","0.00","29.6%","18.5%","11.1%",".182","1.59",".286","77.8%","41","68","93","1.59","2.94","-1.35","3.73","4.31","17583"
"Aaron Nola","PHI","10.16","1.22","8.36","1.04","29.1%","3.5%","25.6%",".212","0.92",".273","76.0%","74","72","73","3.13","2.94","0.18","2.88","2.79","16149"
"Kendall Graveman","CHW","8.83","3.12","2.83","0.52","23.0%","8.1%","14.9%",".250","1.33",".320","74.1%","61","71","83","2.34","2.94","-0.61","3.35","3.31","15514"
"Tommy Hunter","NYM","10.50","0.00","7.00","1.50","28.0%","0.0%","28.0%",".240","1.00",".294","87.0%","38","76","70","1.50","2.95","-1.45","2.77","2.28","1157"
"Luke Bard","TBR","7.50","1.50","5.00","0.00","22.7%","4.5%","18.2%",".105","0.50",".143","100.0%","0","76","99","0.00","2.95","-2.95","3.94","3.14","14288"
"Matt Strahm","BOS","9.85","2.55","3.86","0.73","25.7%","6.7%","19.0%",".237","1.22",".309","60.3%","100","74","99","4.01","2.95","1.06","3.96","3.29","13799"
"Max Scherzer","NYM","10.69","1.99","5.36","0.91","30.6%","5.7%","24.9%",".202","0.95",".272","81.8%","65","76","83","2.54","2.95","-0.42","3.30","2.96","3137"
"Jorge Lopez","BAL","9.64","3.38","2.86","0.48","26.5%","9.3%","17.2%",".163","0.96",".215","76.7%","43","69","80","1.69","2.96","-1.27","3.22","3.00","14527"
"Trevor Megill","MIN","10.38","3.46","3.00","0.69","29.4%","9.8%","19.6%",".196","1.08",".267","71.4%","54","73","83","2.08","2.96","-0.88","3.34","3.03","17722"
"Josh Winckowski","BOS","6.58","2.42","2.71","0.35","17.3%","6.4%","10.9%",".282","1.38",".337","75.1%","78","74","91","3.12","2.96","0.15","3.67","3.97","22387"
"Trevor Stephan","CLE","9.42","2.83","3.33","0.63","24.6%","7.4%","17.2%",".232","1.22",".300","72.3%","82","74","90","3.14","2.98","0.16","3.63","3.31","19932"
"Eli Morgan","CLE","11.43","1.46","7.83","1.22","34.6%","4.4%","30.1%",".148","0.68",".184","60.0%","70","74","70","2.68","2.98","-0.30","2.84","2.14","20203"
"Lou Trivino","OAK","13.70","4.84","2.83","0.81","29.8%","10.5%","19.3%",".337","2.06",".492","61.1%","197","75","73","7.25","2.98","4.27","2.95","3.05","15043"
"Logan Webb","SFG","7.92","2.12","3.74","0.55","21.7%","5.8%","15.9%",".235","1.13",".291","72.0%","78","79","81","3.13","2.98","0.15","3.22","3.40","17995"
"Felix Bautista","BAL","10.80","3.13","3.45","0.85","30.6%","8.9%","21.8%",".186","1.01",".250","89.9%","36","69","78","1.42","2.99","-1.57","3.17","2.88","20666"
"Brandon Woodruff","MIL","11.69","2.14","5.46","1.15","31.4%","5.8%","25.7%",".232","1.13",".316","68.3%","93","75","75","3.95","3.01","0.95","2.98","2.84","16162"
"Wyatt Mills","- - -","7.45","2.79","2.67","0.00","21.6%","8.1%","13.5%",".156","0.83",".208","60.0%","102","76","111","3.72","3.01","0.71","4.40","3.76","20010"
"Sandy Alcantara","MIA","7.57","2.34","3.23","0.47","21.9%","6.8%","15.1%",".196","0.95",".243","77.9%","49","78","88","1.95","3.02","-1.07","3.52","3.63","18684"
"Bryan Baker","BAL","8.07","3.34","2.42","0.28","20.9%","8.6%","12.2%",".256","1.36",".326","60.5%","121","70","103","4.73","3.02","1.71","4.10","3.91","19804"
"Camilo Doval","SFG","11.01","3.41","3.23","0.79","29.2%","9.0%","20.1%",".208","1.17",".282","70.7%","71","80","77","2.88","3.03","-0.14","3.07","2.94","21992"
"Brad Hand","PHI","9.00","4.68","1.92","0.00","23.4%","12.1%","11.2%",".198","1.24",".273","79.4%","51","75","111","2.16","3.04","-0.88","4.47","4.09","9111"
"Diego Castillo","SEA","9.93","3.41","2.91","0.62","26.7%","9.2%","17.5%",".222","1.21",".297","54.2%","127","77","84","4.66","3.05","1.61","3.38","3.29","17496"
"Kyle Wright","ATL","9.39","2.93","3.20","0.59","25.7%","8.0%","17.7%",".223","1.14",".294","76.0%","71","78","84","3.03","3.05","-0.02","3.34","3.47","19665"
"Connor Brogdon","PHI","10.70","2.55","4.20","1.02","28.8%","6.8%","21.9%",".221","1.13",".289","93.0%","48","75","86","2.04","3.06","-1.02","3.45","2.97","21205"
"Ron Marinaccio","NYY","10.71","4.66","2.30","0.00","28.4%","12.3%","16.0%",".106","0.88",".163","77.3%","61","74","118","2.33","3.06","-0.74","4.68","3.58","23488"
"Alek Manoah","TOR","8.08","1.81","4.47","0.67","22.7%","5.1%","17.6%",".206","0.96",".253","81.4%","53","76","94","2.09","3.07","-0.98","3.77","3.70","26410"
"Lucas Luetge","NYY","7.92","3.24","2.44","0.36","20.4%","8.3%","12.0%",".245","1.32",".307","73.6%","85","75","112","3.24","3.08","0.16","4.47","3.96","8337"
"Sam Hentges","CLE","10.29","2.25","4.57","0.96","29.9%","6.5%","23.4%",".182","0.89",".234","87.2%","59","77","61","2.25","3.08","-0.83","2.49","2.31","18548"
"Dean Kremer","BAL","6.11","2.25","2.71","0.32","17.1%","6.3%","10.8%",".243","1.14",".289","88.6%","33","72","118","1.29","3.08","-1.79","4.69","4.62","19350"
"Taijuan Walker","NYM","6.44","2.60","2.48","0.37","17.7%","7.2%","10.6%",".235","1.17",".281","76.7%","70","80","97","2.72","3.09","-0.36","3.89","4.26","11836"
"Tarik Skubal","DET","9.14","2.44","3.75","0.81","24.9%","6.6%","18.3%",".244","1.20",".311","66.8%","106","77","83","4.06","3.10","0.96","3.34","3.50","22267"
"Joe Musgrove","SDP","9.00","1.86","4.84","0.88","25.6%","5.3%","20.3%",".202","0.95",".250","81.4%","56","79","78","2.25","3.10","-0.85","3.08","3.24","12970"
"Charlie Culberson","TEX","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","77","155","0.00","3.12","-3.12","6.10","7.23","3298"
"Cesar Valdez","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","0.0%","233","75","77","9.00","3.12","5.88","3.12","0.93","9013"
"Chris Owings","BAL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","230","73","116","9.00","3.12","5.88","4.61","5.91","10030"
"Tucker Barnhart","DET","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".600","3.00",".600","66.7%","234","77","155","9.00","3.12","5.88","6.10","6.57","10200"
"Randal Grichuk","COL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","114","0.00","3.12","-3.12","4.61","4.60","10243"
"Hanser Alberto","LAD","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.50",".333","66.7%","111","78","150","4.50","3.12","1.38","6.10","6.23","11902"
"Michael Fulmer","DET","8.90","4.30","2.07","0.31","24.8%","12.0%","12.8%",".157","1.02",".208","77.7%","56","77","107","2.15","3.12","-0.97","4.25","3.93","13218"
"Carson Kelly","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","80","114","0.00","3.12","-3.12","4.61","7.23","13620"
"Kevin Plawecki","BOS","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","78","194","0.00","3.12","-3.12","7.59","10.40","13807"
"Jack Mayfield","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","75","155","0.00","3.12","-3.12","6.10","6.79","15402"
"Nick Gordon","MIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","77","116","0.00","3.12","-3.12","4.61","5.03","16337"
"Brett Martin","TEX","7.30","3.28","2.22","0.36","19.6%","8.8%","10.8%",".237","1.26",".292","70.9%","86","77","87","3.28","3.12","0.17","3.50","3.58","17369"
