"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"187",656322,"Coonrod, Sam","712","26.3","0.292","0.125","0.333","0.417","0.334","0.309","0.247","14","48","88.9","6.4","2253","95.9","96.36","22","98","89","0.5","6.55","104","150","112","147","303","326","297"
"186",641582,"Foster, Matt","1253","14.8","0.282","0.154","0.370","0.436","0.342","0.361","0.257","11","39","88.2","32.1","2154","90.2","89.78","26","88","98","-0.4","6.08","109","147","113","145","298","317","295"
"184",465657,"Soria, Joakim","605","30.4","0.306","0.224","0.394","0.531","0.358","0.302","0.260","15","49","87.3","16.0","2320","88.3","88.69","28","96","88","0.4","6.65","106","151","114","149","301","325","297"
"184",605359,"Marshall, Evan","435","42.3","0.326","0.256","0.414","0.581","0.378","0.339","0.281","14","43","88.4","11.2","2225","88.2","87.56","27","94","90","-0.6","5.79","111","149","115","146","301","316","292"
"182",596112,"Stephenson, Robert","1168","15.6","0.195","0.220","0.250","0.415","0.311","0.286","0.185","8","41","92.8","20.6","2715","89.2","89.26","23","79","103","0.1","6.16","111","150","117","144","304","330","304"
"182",660761,"Suarez, José","2241","8.1","0.234","0.085","0.303","0.319","0.275","0.245","0.196","11","47","87.1","14.9","2121","85.3","85.08","27","85","97","-0.2","6.21","111","153","113","150","303","326","295"
"181",664074,"Ponce, Cody","712","25.4","0.270","0.297","0.333","0.568","0.365","0.306","0.223","10","37","84.1","14.4","2167","88.8","90.11","24","92","89","1.3","7.07","115","152","121","149","300","319","296"
"181",676092,"Snider, Collin","367","49.3","0.326","0.116","0.351","0.442","0.356","0.359","0.319","14","43","87.8","8.6","2522","91.0","90.83","16","80","101","-0.2","6.14","105","151","116","144","301","320","295"
"180",607216,"Krehbiel, Joey","562","32.0","0.220","0.171","0.233","0.390","0.301","0.320","0.225","9","41","87.9","8.6","2090","87.5","87.37","18","72","108","-0.1","6.18","110","157","114","149","304","322","293"
"176",666204,"Jiménez, Dany","412","42.7","0.237","0.079","0.333","0.316","0.294","0.288","0.205","9","38","83.9","7.2","2298","85.7","84.90","27","66","110","-0.8","5.78","108","151","121","145","298","318","294"
"176",605218,"Edwards Jr., Carl","537","32.8","0.176","0.118","0.208","0.294","0.267","0.247","0.163","6","34","86.9","12.0","2311","90.4","89.51","25","86","90","-0.9","6.73","112","154","118","146","305","319","300"
"176",681810,"Warren, Austin","481","36.6","0.277","0.128","0.324","0.404","0.308","0.327","0.264","13","47","91.6","12.2","2366","90.6","90.78","15","77","99","0.2","6.42","111","156","118","149","301","326","297"
"175",592761,"Smith, Caleb","2749","6.4","0.243","0.243","0.250","0.486","0.367","0.272","0.170","9","37","86.0","19.4","2365","86.9","85.79","30","83","92","-1.1","5.70","109","152","119","149","298","326","298"
"175",519008,"McFarland, T.J.","928","18.9","0.200","0.200","0.214","0.400","0.331","0.416","0.290","7","35","93.6","2.0","1907","86.5","85.39","18","73","102","-1.1","5.58","108","149","116","144","299","325","300"
"174",642758,"Acevedo, Domingo","700","24.9","0.222","0.244","0.242","0.467","0.299","0.267","0.228","10","45","83.7","13.2","2014","88.9","87.99","29","99","75","-0.9","5.79","113","151","116","146","297","319","296"
"174",670167,"Schreiber, John","433","40.2","0.154","0.026","0.250","0.179","0.197","0.240","0.175","6","39","88.7","-1.2","2305","89.3","89.76","31","88","86","0.5","6.63","108","152","117","150","291","325","294"
"174",503285,"O'Day, Darren","500","34.8","0.265","0.059","0.360","0.324","0.303","0.276","0.223","9","34","86.1","19.8","2302","82.4","82.96","26","89","85","0.6","6.65","106","150","118","144","308","327","292"
"173",662253,"Muñoz, Andrés","516","33.5","0.297","0.405","0.316","0.703","0.450","0.400","0.273","11","37","88.1","12.7","2218","91.8","92.12","39","94","79","0.3","6.48","113","150","121","146","291","324","297"
"170",664747,"Díaz, Alexis","522","32.6","0.086","0.029","0.158","0.114","0.159","0.241","0.143","3","35","88.8","23.5","2681","93.3","95.39","34","85","85","2.1","7.43","114","149","117","147","289","319","292"
"168",642083,"Slegers, Aaron","570","29.5","0.406","0.281","0.458","0.688","0.503","0.387","0.300","13","32","87.7","2.9","1966","89.8","90.64","18","78","87","0.8","6.82","110","151","114","149","306","326","296"
"166",650530,"Garcia, Bryan","731","22.7","0.147","0.176","0.115","0.324","0.270","0.424","0.270","5","34","91.0","9.1","2104","90.8","90.12","17","67","99","-0.7","5.94","102","145","112","144","298","329","301"
"166",445926,"Chavez, Jesse","1044","15.9","0.231","0.179","0.259","0.410","0.321","0.376","0.275","9","39","93.9","10.3","2114","88.6","88.82","15","74","92","0.2","6.18","109","153","118","148","303","324","301"
"165",605521,"Warren, Art","786","21.0","0.343","0.257","0.385","0.600","0.462","0.413","0.286","12","35","85.1","13.8","2408","89.3","89.36","21","72","93","0.1","6.35","112","149","114","146","293","319","289"
"165",621363,"Poche, Colin","354","46.6","0.103","0.000","0.133","0.103","0.168","0.257","0.180","4","39","82.5","25.0","2331","90.9","92.11","26","92","73","1.2","7.24","105","155","112","149","307","329","294"
